
"Paid Bill";"Due On";"Billed Amount";"Already Paid";"Currency";"Status";"Payment Method"

"969570290  EXPORT";"Sep 9, 2019";4,850.00;4,850.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"587807386  EXPORT";"Nov 19, 2019";5,380.16;5,380.16;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"969801300  EXPORT";"Dec 3, 2019";188.00;188.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"910416509  EXPORT";"Apr 30, 2020";7,256.40;7,256.40;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"910696758  EXPORT";"May 19, 2020";9,425.92;9,425.92;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"910710666  EXPORT";"Jul 5, 2020";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"203272483  EXPORT";"Jul 5, 2020";10,362.16;10,362.16;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"203271052  EXPORT";"Jul 8, 2020";10,362.16;10,362.16;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"203442445  EXPORT";"Aug 3, 2020";8,279.12;8,279.12;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"203429991  EXPORT";"Aug 13, 2020";8,297.92;8,297.92;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"203625864  EXPORT";"Aug 3, 2020";7,211.28;7,211.28;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"203556522  EXPORT";"Aug 10, 2020";8,297.92;8,297.92;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"203703124  EXPORT";"Aug 24, 2020";5,846.40;5,846.40;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"203797883  EXPORT";"Aug 26, 2020";8,297.92;8,297.92;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"203884805  EXPORT";"Aug 26, 2020";8,203.92;8,203.92;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"203821109  EXPORT";"Aug 10, 2020";4,474.00;4,474.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"204013018  EXPORT";"Sep 6, 2020";7,997.12;7,997.12;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"204133096  EXPORT";"Sep 3, 2020";8,843.12;8,843.12;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"203883208  EXPORT";"Oct 11, 2020";9,219.12;9,219.12;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"203883208  EXPORT";"Oct 11, 2020";1,200.00;1,200.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
