,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,الفهرس / Index
0,,,,,,,,,
1,الصادرات حسب الاقسام,,,,,,,,
2,Exports by Section,,,,,,,,
3,رقم القسم,وصف القسم,الربع الثاني / Q2,الربع الأول / Q1,الربع الثاني / Q2,Section Description,"Sec.
No",,
4,,,2020,2021,2021,,,,
5,,,القيمة (مليون ريال) / (Million Riyals),,,,,,
6,1,الحيوانات الحية والمنتجات الحيوانية,1306.9593399999999,1330.587771,1246.109388,Live animals; animal products,1,,
7,2,منتجات نباتية,331.183015,730.502396,314.094411,Vegetable products,2,,
8,3,شحوم ودهون وزيوت حيوانية أو نباتية ومنتجات تفككها؛ دهون غذائية محضرة؛ شموع من أصل حيواني أو نباتي,198.899452,321.66514099999995,370.525448,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,3,,
9,4,منتجات صناعة الأغذية؛ مشروبات؛ سوائل كحولية وخل؛ تبغ وأبدال تبغ مصنعة,1324.093697,1696.1963719999999,1528.11005,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",4,,
10,5,المنتجات المعدنية,77088.585372,153464.47908999998,174107.25942599998,Mineral products,5,,
11,6,منتجات الصناعات الكيماوية وما يتصل بها,12584.76614,16300.379878,20380.136109,Products of the chemical or allied industries,6,,
12,7,لدائن ومصنوعاتها؛ مطاط ومصنوعاته,13723.352646,19985.167271,22491.160149000003,Plastics and articles thereof; rubber and articles thereof,7,,
13,8,صلال وجلود خام و جلود مدبوغة وجلود بفراء ومصنوعات هذه المواد؛ أصناف عدة الحيوانات و السراجة؛ لوازم السفر؛ حقائب يدوية وأوعية مماثلة لها؛ مصنوعات من مصارين الحيوانات (عدا مصارين دودة القز),22.210361,44.924199,56.041112,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",8,,
14,9,خشـب ومصنوعاتــه؛ فحم خشبـــي؛ فلين ومصنوعاته؛ مصنوعات من القش أو من الحلفا أو من مواد الضفر الأُخر؛ أصناف صناعتي الحصر والسلال,36.808066,89.550115,65.96973,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",9,,
15,10,عجائن من خشب أو من مواد ليفية سليلوزية أخر؛ ورق أو ورق مقوى (نفايا وفضلات) بغرض إعادة التصنيع (مسترجعة)؛ ورق وورق مقوى ومصنوعاتهما,560.86198,632.558423,651.007586,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,10,,
16,11,مواد نسـجية ومصنوعات من هذه المواد,436.19928100000004,580.317155,664.985823,Textiles and textile articles,11,,
17,12,أحذية، أغطية رأس، مظلات مطر، مظلات شمس، عصي مشي، عصي بمقاعد، سياط، وسياط الفروسية، أجزاء هذه الأصناف؛ ريش محضر وأصناف مصنوعة منه؛ أزهار اصطناعية؛ مصنوعات من شعر بشري,8.117674000000001,18.075837,16.232383,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",12,,
18,13,مصنوعات من حجر أو جص أو إسمنت أو حرير صخري (اسبستوس) أو ميكا أو من مواد مماثلة؛ مصنوعات من خزف؛ زجاج ومصنوعاته,307.761934,481.39029700000003,935.2958189999999,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",13,,
19,14,لؤلؤ طبيعي أو مستنبت، أحجار كريمة أو شبه كريمة، معادن ثمينة، معادن عادية مكسوة بقشرة من معادن ثمينة، مصنوعات من هذه المواد؛ حلي الغواية (مقلدة)؛ نقود,1073.745212,1450.564738,1660.977839,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin",14,,
20,15,معادن عادية ومصنوعاتها,3049.362405,4668.346479,5827.190528,Base metals and articles of base metal,15,,
21,16,آلات وأجهزة آلية؛ معدات كهربائية؛ أجزاؤها؛ أجهزة تسجيل واذاعة الصوت والصورة وأجهزة تسجيل واذاعة الصوت والصورة في الإذاعة المرئية (التلفزيون)، أجزاء ولوازم هذه الأجهزة,1943.749248,3455.493792,3563.738985,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",16,,
22,17,عربات، طائرات، بواخر، ومعدات نقل مماثلة,4927.917528,5996.794554,3708.8087240000004,"Vehicles, aircraft, vessels and associated transport equipment",17,,
23,18,أدوات وأجهزة للبصريات أو للتصوير الفوتوغرافي أو للتصوير السينمائي أو للقياس أو للفحص والضبط الدقيق، أدوات وأجهزة للطب أو الجراحة؛ أصناف صناعة الساعات؛ أدوات موسيقية؛ أجزاء ولوازم هذه الأدوات والأجهز,349.320289,581.6104829999999,459.15081,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",18,,
24,19,أسلحة وذخائر؛ أجزاؤها ولوازمها,31.294742,162.24558699999997,71.72885500000001,Arms and ammunition; parts and accessories thereof,19,,
25,20,سلع ومنتجات متـنوعة,309.501658,452.72996300000005,426.777643,Miscellaneous manufactured articles,20,,
26,21,تحف فنية، قطع للمجموعات وقطع أثرية,41.232974999999996,83.345221,77.387474,"Works of art, collectors' pieces and antiques",21,,
27,,الإجمالي,119655.92301499998,212526.92476199995,238622.68829199998,Total,,,
