,2021_Q1_mSAR,2021_Q2_mSAR,Country
6,28672.171130000002,25679.954387,CHINA
7,12586.885145,13482.467715,UNITED ARAB EMIRATES
8,16078.199931,13099.942399,U.S.A
9,6621.0671600000005,7448.297570999999,GERMANY
10,7501.885937999999,7185.961510000001,INDIA
11,6201.40603,6016.382557000001,JAPAN
12,4163.895711,4377.9816630000005,ITALY
13,3033.796193,3579.69709,EGYPT
14,4666.1114370000005,3523.748581,FRANCE
15,945.049906,3469.3394230000004,CANADA
16,3604.0716469999998,3292.459328,UNITED KINGDOM
17,3120.0218290000003,2569.812458,SOUTH KOREA
18,2086.304951,2476.632299,BRAZIL
19,1743.324661,2367.1365109999997,NETHERLANDS
20,1609.302683,2250.3761329999998,BAHRAIN
21,2193.93095,2184.568258,SPAIN
22,2063.591865,2131.386755,THAILAND
23,1538.040274,2105.7714960000003,BELGIUM
24,1925.5102769999999,2097.4310130000003,INDONESIA
25,1191.188444,1765.712346,SULTANATE OF OMAN
26,1135.644221,1688.345361,SINGAPORE
27,1721.2078350000002,1586.0232529999998,AUSTRALIA
28,1567.597855,1528.6073069999998,SWITZERLAND
29,860.05902,1512.511723,HONG KONG
30,1275.374707,1423.311423,SWEDEN
31,1090.0075510000001,1296.856891,JORDAN
32,1460.59811,1287.218089,VIETNAM
33,1266.50122,1161.797915,POLAND
34,1054.394437,1117.9193209999999,IRELAND
35,1347.9701850000001,1104.599332,MALAYSIA
36,1098.247467,1033.4762369999999,TAIWAN
37,364.347003,840.740495,ARGENTINA
38,573.296321,795.4047410000001,RUSSIAN FEDERATION
39,861.556732,752.944714,MEXICO
40,521.3209979999999,725.776736,PAKISTAN
41,787.11842,709.73747,DENMARK
42,427.243581,687.676733,SOUTH AFRICA
43,390.550488,615.692768,FINLAND
44,569.300714,603.014925,"CONGO, THE DEMOCRATIC REPUBLIC"
45,574.999051,588.917296,UKRAINE
46,525.194654,577.059103,AUSTRIA
47,429.73043199999995,539.98648,ROMANIA
48,463.08090200000004,521.348592,KUWAIT
49,518.36625,473.238386,BANGLADESH
50,391.95986700000003,453.60318500000005,CZECH REPUBLIC
51,277.742568,333.74839099999997,HUNGARY
52,448.389142,320.577786,NEW ZEALAND
53,300.31039400000003,296.881751,SYRIA
54,635.479122,290.434969,GREECE
55,263.253135,268.315141,BULGARIA
56,266.46583200000003,252.800202,GUATEMALA
57,178.19142599999998,245.59771999999998,ETHIOPIA
58,129.809313,245.273319,SLOVAKIA
59,243.005991,240.90993799999998,LEBANON
60,235.205443,233.95140800000001,REPUBLIC OF YEMEN
61,323.80733299999997,194.686542,SUDAN
62,195.167206,186.88011899999998,PHILIPPINES
63,84.61932599999999,181.349145,CHILE
64,189.624256,174.920634,PORTUGAL
65,79.565438,156.29937999999999,SLOVENIA
66,15.92654,152.472158,ESTONIA
67,107.21743000000001,147.70032,ECUADOR
68,373.43756999999994,142.199405,NORWAY
69,72.991139,127.25615499999999,CROATIA
70,122.909232,121.95579000000001,MOROCCO
71,0.880456,105.012934,QATAR
72,122.76349000000002,103.63558,LITHUANIA
73,0.004314,99.670867,BAHAMAS
74,169.137568,95.614931,"EUROPEAN UNION, N.E.S"
75,122.44078999999999,91.581343,SRI LANKA
76,43.013782,89.358511,SERBIA
77,80.177058,85.71208,KENYA
78,119.160992,80.18303800000001,TURKEY
