,Section Description,2021_Q3_mSAR,2021_Q4_mSAR
5,الحيوانات الحية والمنتجات الحيوانية,1261.434116,1533.3491880000001
6,منتجات نباتية,299.184048,531.968384
7,شحوم ودهون وزيوت حيوانية أو نباتية ومنتجات تفككها؛ دهون غذائية محضرة؛ شموع من أصل حيواني أو نباتي,340.523261,415.289859
8,منتجات صناعة الأغذية؛ مشروبات؛ سوائل كحولية وخل؛ تبغ وأبدال تبغ مصنعة,1742.577819,1937.558877
9,المنتجات المعدنية,207865.871133,241827.571306
10,منتجات الصناعات الكيماوية وما يتصل بها,21384.84576,25983.916057000002
11,لدائن ومصنوعاتها؛ مطاط ومصنوعاته,24107.048874,24445.240573
12,صلال وجلود خام و جلود مدبوغة وجلود بفراء ومصنوعات هذه المواد؛ أصناف عدة الحيوانات و السراجة؛ لوازم السفر؛ حقائب يدوية وأوعية مماثلة لها؛ مصنوعات من مصارين الحيوانات (عدا مصارين دودة القز),52.724745,59.655669
13,خشـب ومصنوعاتــه؛ فحم خشبـــي؛ فلين ومصنوعاته؛ مصنوعات من القش أو من الحلفا أو من مواد الضفر الأُخر؛ أصناف صناعتي الحصر والسلال,97.557234,240.464454
14,عجائن من خشب أو من مواد ليفية سليلوزية أخر؛ ورق أو ورق مقوى (نفايا وفضلات) بغرض إعادة التصنيع (مسترجعة)؛ ورق وورق مقوى ومصنوعاتهما,600.362717,876.2539239999999
15,مواد نسـجية ومصنوعات من هذه المواد,641.157285,721.588806
16,أحذية، أغطية رأس، مظلات مطر، مظلات شمس، عصي مشي، عصي بمقاعد، سياط، وسياط الفروسية، أجزاء هذه الأصناف؛ ريش محضر وأصناف مصنوعة منه؛ أزهار اصطناعية؛ مصنوعات من شعر بشري,26.326731000000002,20.587657
17,مصنوعات من حجر أو جص أو إسمنت أو حرير صخري (اسبستوس) أو ميكا أو من مواد مماثلة؛ مصنوعات من خزف؛ زجاج ومصنوعاته,552.659798,559.328708
18,لؤلؤ طبيعي أو مستنبت، أحجار كريمة أو شبه كريمة، معادن ثمينة، معادن عادية مكسوة بقشرة من معادن ثمينة، مصنوعات من هذه المواد؛ حلي الغواية (مقلدة)؛ نقود,940.173355,1765.101166
19,معادن عادية ومصنوعاتها,5559.126488,6318.561156
20,آلات وأجهزة آلية؛ معدات كهربائية؛ أجزاؤها؛ أجهزة تسجيل واذاعة الصوت والصورة وأجهزة تسجيل واذاعة الصوت والصورة في الإذاعة المرئية (التلفزيون)، أجزاء ولوازم هذه الأجهزة,3682.140723,4153.832749
21,عربات، طائرات، بواخر، ومعدات نقل مماثلة,5214.760101,8013.488632
22,أدوات وأجهزة للبصريات أو للتصوير الفوتوغرافي أو للتصوير السينمائي أو للقياس أو للفحص والضبط الدقيق، أدوات وأجهزة للطب أو الجراحة؛ أصناف صناعة الساعات؛ أدوات موسيقية؛ أجزاء ولوازم هذه الأدوات والأجهزة,432.1739,496.040799
23,أسلحة وذخائر؛ أجزاؤها ولوازمها,55.136520999999995,65.337838
24,سلع ومنتجات متـنوعة,1029.8664330000001,426.542556
25,تحف فنية، قطع للمجموعات وقطع أثرية,76.19626199999999,72.368307
26,الإجمالي,275961.8473040001,320464.04666500003
