,Country,2021_Q3_mSAR,2021_Q4_mSAR
5,CHINA,31235.878496,31258.061823999997
6,USA,14920.396897,16103.400957000002
7,UAE,10385.818185,10805.359601
8,INDIA,8140.6457789999995,7367.978311999999
9,GERMANY,6832.224905,6978.209918
10,اليابان,5457.016706,5106.412142
11,مصر,4158.524615,4974.515472
12,ايطاليا,4136.3713259999995,4345.926274
13,فرنسا,3598.2162660000004,3983.933074
14,المملكة المتحدة,3160.454142,3819.9449700000005
15,كوريا الجنوبية,3434.58327,3714.1969609999996
16,سويسرا,1916.2321900000002,3202.3259749999997
17,البحرين,2944.480399,2967.367374
18,اندونيسيا,1767.367588,2661.926103
19,البرازيل,2222.060245,2334.2048750000004
20,تايلاند,2211.451244,2305.60252
21,هولندا,1889.687914,2287.277382
22,اسبانيا,2554.18476,2206.285465
23,روسيا الاتحادية,1240.9168690000001,2201.822422
24,سلطنة عمان,1592.987043,2155.959831
25,سنغافورة,1211.466752,1970.9004719999998
26,بلجيكا,1875.149758,1701.3494779999999
27,ماليزيا,1637.670212,1410.804029
28,تايوان,1016.9111809999999,1396.38634
29,السويد,1346.6919739999998,1371.305585
30,استراليا,866.4484809999999,1361.025232
31,هونج كونج,1169.018223,1360.787883
32,الأردن,1311.994312,1310.414041
33,فيتنام,1474.825903,1224.343561
34,ايرلندا,1163.845668,1196.5189890000001
35,بولندا,1241.8784289999999,1123.202178
36,أوكرانيا,877.789172,1010.273862
37,اليونان,316.974568,926.135721
38,كندا,2317.886657,884.9810309999999
39,الدنمارك,562.9699340000001,873.385166
40,المكسيك,819.133706,866.914706
41,جنوب افريقيا,1274.037762,756.488543
42,النمسا,618.0560989999999,606.594243
43,الأرجنتين,1498.103951,596.399815
44,الكويت,623.755663,506.150709
45,رومانيا,710.4597530000001,485.73183399999994
46,التشيك,516.82838,442.08970999999997
47,بنغلاديش,412.46870499999994,441.808184
48,باكستان,395.75633700000003,418.07485299999996
49,قطر,119.45599899999999,399.407769
50,فنلندا,547.8872570000001,377.507181
51,نيوزيلندا,531.385891,366.090768
52,السودان,462.05725199999995,298.14743699999997
53,سوريا,311.41945999999996,295.997622
54,المجر (هنغاريا),305.225189,293.333044
55,جمهورية كونجو الديمقراطية,810.1092580000001,228.217453
56,سلوفاكيا,193.148235,220.605512
57,بلغاريا,178.102324,219.480367
58,اثيوبيا,223.33187800000002,213.934314
59,الجمهورية اليمنية,173.443858,205.87318199999999
60,النرويج,169.545239,186.135748
61,الفلبين,145.932499,181.90668599999998
62,البرتغال,184.06170200000003,157.289598
63,المغرب,126.528396,145.929345
64,اكوادور,115.27550299999999,135.86341
65,تشيلي,125.03385700000001,128.512385
66,الاتحاد الأوربي، غير مذكورة في مكان آخر,92.272786,122.117253
67,مولدافيا,5.293161,120.44313999999999
68,جواتيمالا,60.707295,118.167509
69,سريلانكا,102.72684899999999,107.338807
70,كوستاريكا,92.681561,99.034539
71,صربيا,55.577292,85.94425100000001
72,كينيا,78.96946700000001,85.666602
73,لوكسمبورج,47.409942,82.124283
74,بورتوريكو,60.492056999999996,80.862853
75,ميانمار (بورما),87.147096,79.450108
76,ليتوانيا,58.927378000000004,77.598814
77,كولومبيا,48.618241,76.514233
78,كامبوديا,95.119463,72.82001
79,كرواتيا,232.229257,67.986503
80,تونس,50.053898000000004,63.941867
81,سلوفينيا,57.623250999999996,63.665624
82,مالطا,172.917167,52.832715
83,جورجيا,361.190479,47.018240000000006
84,فلسطين,9.156335,43.54942199999999
85,العراق,14.757292999999999,30.114888
86,افغانستان,20.135131,29.938132000000003
87,البوسنة والهرسك,24.211180000000002,27.265836999999998
88,تركيا,45.864681000000004,25.593549
89,بيرو,13.348815,24.513587
90,تنزانيا,16.802203,24.460993
91,قبرص,20.390002,22.372343
92,نيجيريا,10.096329,19.257806
93,ألبانيا,17.847640000000002,19.120909
94,كازاخستان,1.937913,17.878894000000003
95,زامبيا,38.761313,17.539237
96,أوزباكستان,8.260209999999999,17.480464
97,لاتفيا,150.830653,16.038092000000002
98,اسـتونيا,87.778618,15.675556
99,بيلاروس (روسيا البيضاء),7.288875,15.671054999999999
100,مقدونيا,11.510764,15.009222
101,لبنان,55.747400999999996,14.79564
102,جمهورية الدومينيكان,12.549912,14.116117999999998
103,أوروغواي,5.696087,11.516053
104,دومينيكا,7.1204160000000005,9.932962
105,باراغواي,11.102436,8.780874
106,أوغندا,5.475649,7.9456690000000005
107,السلفادور,8.831154000000002,7.581847
108,مدغشقر,5.7631440000000005,6.685524
109,سان مارينو,2.1810869999999998,5.6327359999999995
110,ناميبيا,1.9966469999999998,4.345198
111,جمهورية الصومال,56.233575,4.169779999999999
112,أيسلندا,0.870929,4.167801
113,ليختنشتاين,3.5423060000000004,4.110316999999999
114,موريشيوس,4.360813,3.835446
115,غانا,2.8308530000000003,3.548854
116,هندوراس,4.398236,3.49815
117,بنما,20.915059,3.166983
118,جيبوتي,29.204129000000002,3.030647
119,أروبا,6.958606,2.9462539999999997
120,جمهورية كوسوفو,1.0870549999999999,2.902529
121,زيمبابوي,2.643573,2.812466
122,اذربيجان,4.042841,2.807648
123,ساحل العاج (كوت ديفوار),8.518817,2.5178049999999996
124,موزمبيق,1.3983880000000002,2.46462
125,الجزائر,117.981636,2.417578
126,توجو,1.767499,2.05354
127,مكاو,1.564129,1.824943
128,قرغيزستان (قرغيزيا),0.005121,1.803018
129,بوليفيا,1.491029,1.779997
130,الكاميرون,4.77157,1.717565
131,الجابون,2.01835,1.513555
132,رواندا,0.753907,1.4661650000000002
133,إسواتيني (سوازيلاند),1.48833,1.439868
134,جزر فيرجن البريطانية,3.1186679999999996,1.389691
135,السنغال,0.10710800000000001,1.3883860000000001
136,لاوس,5.364474,1.2117339999999999
137,نيكاراجوا,1.59708,1.1998820000000001
138,ليسوتو,0.038445,1.0166140000000001
139,غيانا,0.329359,0.9743360000000001
140,ملاوي,1.425079,0.8481810000000001
141,فنزويلا,1.033271,0.815544
142,ارمينيا,1.169086,0.789355
143,بروناي دار السلام,0.454128,0.7338819999999999
144,كونجو,0.085348,0.715577
145,سيراليون,0.573698,0.6862440000000001
146,موناكو,0.561738,0.669824
147,جزر فيجى,1.089308,0.615546
148,موريتانيا,0.015553,0.46222199999999997
149,جزيرة نورفولك,0.13375,0.37875
150,كوراساو,0.085575,0.370466
151,بقية الدول,102.83565300000004,9.129419
152,الإجمالي,146555.826816,151138.740578
