,Value(millions SAR),Section Description
4,777265.181,Mineral products
6,91028.617,Plastics and articles thereof; rubber and articles thereof
5,84049.278,Products of the chemical or allied industries
16,22933.852,"Vehicles, aircraft, vessels and associated transport equipment"
14,22373.225,Base metals and articles of base metal
15,14855.206,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles"
3,6904.443,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
13,5816.817,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin"
0,5371.48,Live animals; animal products
9,2760.183,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof
10,2608.049,Textiles and textile articles
12,2528.675,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware"
19,2335.917,Miscellaneous manufactured articles
17,1968.976,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof"
1,1875.749,Vegetable products
2,1448.004,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
8,493.542,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"
18,354.449,Arms and ammunition; parts and accessories thereof
20,309.297,"Works of art, collectors' pieces and antiques"
7,213.346,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)"
11,81.223,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair"
