,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,R
0,,,,,,
1,,,,,,
2,,واردات المملكة,,صادرات المملكة,,
3,,Kingdom's Import,,Kingdom's Exports,,
4,السنة,الوزن (الف طن),القيمة (مليون ريال),الوزن (الف طن),القيمة (مليون ريال),
5,Year,Weight(1000 Tons),Value (Millions S R),Weight(1000 Tons),Value (Millions S R),
6,2011,63161,493449,449823,1367620,
7,2012,74493,583473,467012,1456502,
8,2013,82881,630582,462339,1409523,
9,2014,82536,651876,456962,1284122,
10,2015,84206,655033,466243,763313,
11,2016,76731,525636,500277,688423,
12,2017,75998,504447,483767,831881,
13,2018,75239,513993,509797,1103900,
14,2019,77512,574361,492262,981012,
15,2020,86137,517491,470531,651952,
