,Year,Imports Weight(1000 Tons),Imports Vaule(Millions SAR),Exports Weight(1000 Tons),Exports Vaule(Millions SAR),Difference in Weights,Difference in Value
6,2011,63161,493449,449823,1367620,386662,874171
7,2012,74493,583473,467012,1456502,392519,873029
8,2013,82881,630582,462339,1409523,379458,778941
9,2014,82536,651876,456962,1284122,374426,632246
10,2015,84206,655033,466243,763313,382037,108280
11,2016,76731,525636,500277,688423,423546,162787
12,2017,75998,504447,483767,831881,407769,327434
13,2018,75239,513993,509797,1103900,434558,589907
14,2019,77512,574361,492262,981012,414750,406651
15,2020,86137,517491,470531,651952,384394,134461
