,Unnamed: 0, أعلى 50 صنف مستورد بالنسبة للقيمة مع 3 دول رئيسة مصدرة,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,R
0,,Top 50 Import Commodities by value with 3 Major Trading Countries,,,,,,,,,,,
1,الوزن بالطن,,القيمة (بالمليون),,,,2020,,Weight(Tons),,Value (Million),,
2,رمز السلعة,وصف السلعة,القيمة,الوزن ,النسبة إلى المجموع,المعدل التراكمي,الدولة,Country,القيمة,الوزن,Commodity Name,Commodity Code,
3,,,Value,Weight ,Percent To Total,Accum. Percent,,,Value,Weight ,,,
4,85171200,أجهزة هاتف للشبكات الخليوية أو غيرها من الشبكات اللاسلكية,15118.579534,7064.03,,,الصـين,CHINA,12589.189336,5479.952, Telephones for cellular networks or for other wireless networks,85171200,
5,85171200,أجهزة هاتف للشبكات الخليوية أو غيرها من الشبكات اللاسلكية,15118.579534,7064.03,,,فيتنام,VIETNAM,1857.808496,1205.218, Telephones for cellular networks or for other wireless networks,85171200,
6,85171200,أجهزة هاتف للشبكات الخليوية أو غيرها من الشبكات اللاسلكية,15118.579534,7064.03,,,الـهـنـد,INDIA,608.146995,353.263, Telephones for cellular networks or for other wireless networks,85171200,
7,87032111,سيارات خاصة موديل سنة التخليص أو التي تليها (<1000سم3),11832.276943,270456.784,,,الصـين,CHINA,2758.417565,78927.376,"PRIVATE CARS, CURRENT, SPARK-IGNITION, NOT OVER 1000 CC",87032111,
8,87032111,سيارات خاصة موديل سنة التخليص أو التي تليها (<1000سم3),11832.276943,270456.784,,,الولايات المتحدة الامريكية,U.S.A,2386.783067,41189.769,"PRIVATE CARS, CURRENT, SPARK-IGNITION, NOT OVER 1000 CC",87032111,
9,87032111,سيارات خاصة موديل سنة التخليص أو التي تليها (<1000سم3),11832.276943,270456.784,,,كوريا الجنوبية,SOUTH KOREA,2013.805809,52503.146,"PRIVATE CARS, CURRENT, SPARK-IGNITION, NOT OVER 1000 CC",87032111,
10,30049090,غيرها من أدوية، مهيأة للبيع بالتجزئة,11815.526931,21410.449,,,المانيا,GERMANY,1952.972294,2442.053,"OTHER MEDICINE, RETAIL",30049090,
11,30049090,غيرها من أدوية، مهيأة للبيع بالتجزئة,11815.526931,21410.449,,,الولايات المتحدة الامريكية,U.S.A,1724.467583,1352.67,"OTHER MEDICINE, RETAIL",30049090,
12,30049090,غيرها من أدوية، مهيأة للبيع بالتجزئة,11815.526931,21410.449,,,فرنسا,FRANCE,1255.989007,3515.82,"OTHER MEDICINE, RETAIL",30049090,
13,87032211,سيارات خاصة موديل سنة التخليص أو التي تليها (1001-1500) سم3,11229.582189,243091.198,,,الـيـابـان,JAPAN,3054.624682,55768.858,"PRIVATE CARS, CURRENT, SPARK IGNITION, 1001 TO 1500 CC",87032211,
14,87032211,سيارات خاصة موديل سنة التخليص أو التي تليها (1001-1500) سم3,11229.582189,243091.198,,,تـايلند,THAILAND,1620.853262,41717.796,"PRIVATE CARS, CURRENT, SPARK IGNITION, 1001 TO 1500 CC",87032211,
15,87032211,سيارات خاصة موديل سنة التخليص أو التي تليها (1001-1500) سم3,11229.582189,243091.198,,,كوريا الجنوبية,SOUTH KOREA,1561.399167,36011.883,"PRIVATE CARS, CURRENT, SPARK IGNITION, 1001 TO 1500 CC",87032211,
16,27101249,غيرها من زيوت وقود,8980.044322,10088585.515,,,مـصـر,EGYPT,3626.605301,3965269.812,OTHER FUEL OILS,27101249,
17,27101249,غيرها من زيوت وقود,8980.044322,10088585.515,,,سـنغافورة,SINGAPORE,1350.051537,1799801.62,OTHER FUEL OILS,27101249,
18,27101249,غيرها من زيوت وقود,8980.044322,10088585.515,,,هولندا,NETHERLANDS,1134.577057,1305029.074,OTHER FUEL OILS,27101249,
19,98010000,الأمتعة الشخصية و المنـزلية المستعملة التي يجلبها المواطنون معهم,7903.788858,73371.314,,,الامارات العربية المتحدة,UNITED ARAB EMIRATES,3669.899111,27080.752,the personal effects and used household items brought into the co,98010000,
20,98010000,الأمتعة الشخصية و المنـزلية المستعملة التي يجلبها المواطنون معهم,7903.788858,73371.314,,,هونج كونج,HONG KONG,2771.624706,26822.614,the personal effects and used household items brought into the co,98010000,
21,98010000,الأمتعة الشخصية و المنـزلية المستعملة التي يجلبها المواطنون معهم,7903.788858,73371.314,,,الولايات المتحدة الامريكية,U.S.A,676.063682,8046.632,the personal effects and used household items brought into the co,98010000,
22,88033000,اجزاء اخر للطائرات العاديه او الطائرات العموديه,6682.651646,3434.913,,,الولايات المتحدة الامريكية,U.S.A,4570.528665,2717.278,OTHER PARTS OF AEROPLANES OR HELICOPTERS,88033000,
23,88033000,اجزاء اخر للطائرات العاديه او الطائرات العموديه,6682.651646,3434.913,,,المملكة المتحدة,UNITED KINGDOM,693.955618,271.008,OTHER PARTS OF AEROPLANES OR HELICOPTERS,88033000,
24,88033000,اجزاء اخر للطائرات العاديه او الطائرات العموديه,6682.651646,3434.913,,,فرنسا,FRANCE,303.367934,66.845,OTHER PARTS OF AEROPLANES OR HELICOPTERS,88033000,
25,10039000, شعير,5234.805381,6592396.579,,,روسيا الاتحادية,RUSSIAN FEDERATION,1995.157881,2554467.519,BARLEY,10039000,
26,10039000, شعير,5234.805381,6592396.579,,,المانيا,GERMANY,579.290857,728590.338,BARLEY,10039000,
27,10039000, شعير,5234.805381,6592396.579,,,اوكرانيا,UKRAINE,560.397281,712600.513,BARLEY,10039000,
28,10063000,ارز مضروب كليا او جزئيا,5091.632284,1500908.943,,,الـهـنـد,INDIA,4010.609925,1176050.164,SIMI-MILLED OR WHOLLY MILLED RICE WHETHER OR NOTPOLISHED OR GLAZE,10063000,
29,10063000,ارز مضروب كليا او جزئيا,5091.632284,1500908.943,,,الولايات المتحدة الامريكية,U.S.A,440.522496,108903.007,SIMI-MILLED OR WHOLLY MILLED RICE WHETHER OR NOTPOLISHED OR GLAZE,10063000,
30,10063000,ارز مضروب كليا او جزئيا,5091.632284,1500908.943,,,باكسـتان,PAKISTAN,380.210912,123057.869,SIMI-MILLED OR WHOLLY MILLED RICE WHETHER OR NOTPOLISHED OR GLAZE,10063000,
31,85176290,غيرها من آلات لاستقبال و تحويل و إرسال أو استرجاع الصوت أو الصورة,4887.008063,5830.725,,,الصـين,CHINA,3543.312001,4416.311,"Other Machines for the reception, conversion and transmission",85176290,
32,85176290,غيرها من آلات لاستقبال و تحويل و إرسال أو استرجاع الصوت أو الصورة,4887.008063,5830.725,,,فنلندا,FINLAND,247.556037,226.735,"Other Machines for the reception, conversion and transmission",85176290,
33,85176290,غيرها من آلات لاستقبال و تحويل و إرسال أو استرجاع الصوت أو الصورة,4887.008063,5830.725,,,الولايات المتحدة الامريكية,U.S.A,183.075063,154.802,"Other Machines for the reception, conversion and transmission",85176290,
34,71081210,سبائك ذهب,4371.931478,21.475,,,الامارات العربية المتحدة,UNITED ARAB EMIRATES,2942.5595,14.062,GOLD INGOTS,71081210,
35,71081210,سبائك ذهب,4371.931478,21.475,,,جنوب افريقيا,SOUTH AFRICA,1089.320159,5.5,GOLD INGOTS,71081210,
36,71081210,سبائك ذهب,4371.931478,21.475,,,سـويسـرا,SWITZERLAND,266.363463,1.557,GOLD INGOTS,71081210,
37,72031000,منتجات حديديه منتجه من عمليه الاختزال المباشرلخام الحديد,4370.263836,7573684.535,,,سـلطنة عمان,SULTANATE OF OMAN,2314.661422,3705431.614,FERROUS PRODUCTS FROM THE DIRECT REDUCTION OF IRON ORE,72031000,
38,72031000,منتجات حديديه منتجه من عمليه الاختزال المباشرلخام الحديد,4370.263836,7573684.535,,,السويد,SWEDEN,1457.243407,2855051,FERROUS PRODUCTS FROM THE DIRECT REDUCTION OF IRON ORE,72031000,
39,72031000,منتجات حديديه منتجه من عمليه الاختزال المباشرلخام الحديد,4370.263836,7573684.535,,,البحرين,BAHRAIN,558.734933,978793.85,FERROUS PRODUCTS FROM THE DIRECT REDUCTION OF IRON ORE,72031000,
40,87032231,سيارات جيب موديل سنة التخليص أو التي تليها (1001-1500) سم3,4065.511639,72127.648,,,الـيـابـان,JAPAN,2590.027957,45416.098,"JEEPS, CURRENT, SPARK IGNITION, 1001 TO 1500 CC",87032231,
41,87032231,سيارات جيب موديل سنة التخليص أو التي تليها (1001-1500) سم3,4065.511639,72127.648,,,انـدونيسـيا,INDONESIA,797.004144,17579.321,"JEEPS, CURRENT, SPARK IGNITION, 1001 TO 1500 CC",87032231,
42,87032231,سيارات جيب موديل سنة التخليص أو التي تليها (1001-1500) سم3,4065.511639,72127.648,,,الولايات المتحدة الامريكية,U.S.A,284.857703,4010.595,"JEEPS, CURRENT, SPARK IGNITION, 1001 TO 1500 CC",87032231,
43,84151010,أجهزة تكييف هواء (فريون),3973.274906,280532.786,,,الصـين,CHINA,3507.54766,259580.617,Air-Conditioning Equipment (Freon),84151010,
44,84151010,أجهزة تكييف هواء (فريون),3973.274906,280532.786,,,تـايلند,THAILAND,233.369164,9383.841,Air-Conditioning Equipment (Freon),84151010,
45,84151010,أجهزة تكييف هواء (فريون),3973.274906,280532.786,,,البحرين,BAHRAIN,143.887965,8062.166,Air-Conditioning Equipment (Freon),84151010,
46,84713000,آلات للمعالجة الذاتية للمعلومات، محمولة,3818.617453,4809.848,,,الصـين,CHINA,3627.451231,4529.742,Portable Auto Data Processing Machine with C.P.U,84713000,
47,84713000,آلات للمعالجة الذاتية للمعلومات، محمولة,3818.617453,4809.848,,,فيتنام,VIETNAM,87.177757,71.514,Portable Auto Data Processing Machine with C.P.U,84713000,
48,84713000,آلات للمعالجة الذاتية للمعلومات، محمولة,3818.617453,4809.848,,,الولايات المتحدة الامريكية,U.S.A,33.990078,39.77,Portable Auto Data Processing Machine with C.P.U,84713000,
49,27101221,بنزين محركات,3707.436501,2470972.664,,,الامارات العربية المتحدة,UNITED ARAB EMIRATES,2243.205863,1479667.752,ENGINE  GASOLINE,27101221,
50,27101221,بنزين محركات,3707.436501,2470972.664,,,الـهـنـد,INDIA,746.312611,493344.08,ENGINE  GASOLINE,27101221,
51,27101221,بنزين محركات,3707.436501,2470972.664,,,سـلطنة عمان,SULTANATE OF OMAN,488.751613,343524.592,ENGINE  GASOLINE,27101221,
52,10059010,ذرة صفراء ذهبية,3101.961605,3913498.127,,,الارجنتين,ARGENTINA,1637.346177,2049530.073,GOLDEN CORN,10059010,
53,10059010,ذرة صفراء ذهبية,3101.961605,3913498.127,,,الولايات المتحدة الامريكية,U.S.A,703.085844,877114.083,GOLDEN CORN,10059010,
54,10059010,ذرة صفراء ذهبية,3101.961605,3913498.127,,,البرازيل,BRAZIL,510.902727,686222.754,GOLDEN CORN,10059010,
55,87032112,سيارات خاصة موديل السنة الأولى السابقة للتخليص (<1000سم3),3100.297243,74155.587,,,الـيـابـان,JAPAN,1718.149483,40219.209,"PRIVATE CARS, 1-YEAR, SPARK-IGNITION, NOT OVER 1000 CC",87032112,
56,87032112,سيارات خاصة موديل السنة الأولى السابقة للتخليص (<1000سم3),3100.297243,74155.587,,,المانيا,GERMANY,449.055314,5905.153,"PRIVATE CARS, 1-YEAR, SPARK-IGNITION, NOT OVER 1000 CC",87032112,
57,87032112,سيارات خاصة موديل السنة الأولى السابقة للتخليص (<1000سم3),3100.297243,74155.587,,,الولايات المتحدة الامريكية,U.S.A,308.978802,8778.493,"PRIVATE CARS, 1-YEAR, SPARK-IGNITION, NOT OVER 1000 CC",87032112,
58,74081100,اسلاك من نحاس، نقي لايزيد اقصى بعد لمقطعها العرضى عن 6 مم,2868.673968,125847.558,,,الامارات العربية المتحدة,UNITED ARAB EMIRATES,2770.001565,121868.661,REFINED COPPER WIRE OVER 6 MM THICK,74081100,
59,74081100,اسلاك من نحاس، نقي لايزيد اقصى بعد لمقطعها العرضى عن 6 مم,2868.673968,125847.558,,,روسيا الاتحادية,RUSSIAN FEDERATION,89.838611,3618.931,REFINED COPPER WIRE OVER 6 MM THICK,74081100,
60,74081100,اسلاك من نحاس، نقي لايزيد اقصى بعد لمقطعها العرضى عن 6 مم,2868.673968,125847.558,,,مـصـر,EGYPT,8.409881,328.038,REFINED COPPER WIRE OVER 6 MM THICK,74081100,
61,87032212,سيارات خاصة موديل السنة الأولى السابقة للتخليص (1001-1500) سم3,2859.75498,77745.968,,,كوريا الجنوبية,SOUTH KOREA,874.925904,23453.906,"PRIVATE CARS, 1 YEAR, SPARK IGNITION, 1001 TO 1500 CC",87032212,
62,87032212,سيارات خاصة موديل السنة الأولى السابقة للتخليص (1001-1500) سم3,2859.75498,77745.968,,,الصـين,CHINA,785.168985,23386.742,"PRIVATE CARS, 1 YEAR, SPARK IGNITION, 1001 TO 1500 CC",87032212,
63,87032212,سيارات خاصة موديل السنة الأولى السابقة للتخليص (1001-1500) سم3,2859.75498,77745.968,,,الـهـنـد,INDIA,441.317924,11993.87,"PRIVATE CARS, 1 YEAR, SPARK IGNITION, 1001 TO 1500 CC",87032212,
64,38220000,كواشف مركبه للتشخيص، والمختبرات,2719.294433,4979.925,,,الولايات المتحدة الامريكية,U.S.A,1064.144307,1724.271,COMPOSITE DIAGNOSTIC OR LABORATORY REAGENTS,38220000,
65,38220000,كواشف مركبه للتشخيص، والمختبرات,2719.294433,4979.925,,,الصـين,CHINA,575.245823,379.049,COMPOSITE DIAGNOSTIC OR LABORATORY REAGENTS,38220000,
66,38220000,كواشف مركبه للتشخيص، والمختبرات,2719.294433,4979.925,,,المانيا,GERMANY,291.976474,1444.992,COMPOSITE DIAGNOSTIC OR LABORATORY REAGENTS,38220000,
67,74031100,كاثودات (أقطاب) وقطاعاتها من نحاس، نقي,2642.191034,113149.057,,,جمهورية كونجو الديمقراطية (زائير),"CONGO, THE DEMOCRATIC REPUBLIC",2125.412496,90191.311,CATHODES AND SECTIONS OF CATHODES OF REFINED COPPER,74031100,
68,74031100,كاثودات (أقطاب) وقطاعاتها من نحاس، نقي,2642.191034,113149.057,,,روسيا الاتحادية,RUSSIAN FEDERATION,240.157485,10790.261,CATHODES AND SECTIONS OF CATHODES OF REFINED COPPER,74031100,
69,74031100,كاثودات (أقطاب) وقطاعاتها من نحاس، نقي,2642.191034,113149.057,,,زامبيا,ZAMBIA,181.463584,8085.817,CATHODES AND SECTIONS OF CATHODES OF REFINED COPPER,74031100,
70,2071200,لحوم وأحشاء دجاج (جالوس دوميستكوس) غير مقطعة مجمدة,2513.436068,414437.219,,,البرازيل,BRAZIL,1836.688086,298895.196,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,2071200,
71,2071200,لحوم وأحشاء دجاج (جالوس دوميستكوس) غير مقطعة مجمدة,2513.436068,414437.219,,,فرنسا,FRANCE,398.913647,67605.357,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,2071200,
72,2071200,لحوم وأحشاء دجاج (جالوس دوميستكوس) غير مقطعة مجمدة,2513.436068,414437.219,,,اوكرانيا,UKRAINE,211.810794,36610.762,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,2071200,
73,69079090,غيرها من بلاط وترابيع خزفيه غير ملمعه,2472.701343,2430757.157,,,الـهـنـد,INDIA,1144.873209,1327038.124,OTHER UNGLAZED CERAMIC FLAGS AND TILES,69079090,
74,69079090,غيرها من بلاط وترابيع خزفيه غير ملمعه,2472.701343,2430757.157,,,اسبانيا,SPAIN,578.764216,369187.332,OTHER UNGLAZED CERAMIC FLAGS AND TILES,69079090,
75,69079090,غيرها من بلاط وترابيع خزفيه غير ملمعه,2472.701343,2430757.157,,,الامارات العربية المتحدة,UNITED ARAB EMIRATES,360.64969,410944.748,OTHER UNGLAZED CERAMIC FLAGS AND TILES,69079090,
76,89069090,غيرها من سفن,2397.779143,39521.338,,,الصـين,CHINA,1059.275281,22911.287,OTHER SHIPS,89069090,
77,89069090,غيرها من سفن,2397.779143,39521.338,,,سـنغافورة,SINGAPORE,997.899723,12118.642,OTHER SHIPS,89069090,
78,89069090,غيرها من سفن,2397.779143,39521.338,,,الـهـنـد,INDIA,115.44375,2247,OTHER SHIPS,89069090,
79,24022000,لفائف عادية (سجائر) محتوية على تبغ,2292.106077,26422.023,,,تركيا,TURKEY,904.827807,10559.14,CIGARETTES CONTAINING TOBACCO,24022000,
80,24022000,لفائف عادية (سجائر) محتوية على تبغ,2292.106077,26422.023,,,بولندا,POLAND,490.432433,3809.086,CIGARETTES CONTAINING TOBACCO,24022000,
81,24022000,لفائف عادية (سجائر) محتوية على تبغ,2292.106077,26422.023,,,المانيا,GERMANY,312.618786,3713.104,CIGARETTES CONTAINING TOBACCO,24022000,
82,71131910,حلي ومجوهرات وأجزاؤها من ذهب,2181.954722,10.695,,,الامارات العربية المتحدة,UNITED ARAB EMIRATES,619.939354,3.261,JEWELLERY OF GOLD,71131910,
83,71131910,حلي ومجوهرات وأجزاؤها من ذهب,2181.954722,10.695,,,فرنسا,FRANCE,328.258671,0.734,JEWELLERY OF GOLD,71131910,
84,71131910,حلي ومجوهرات وأجزاؤها من ذهب,2181.954722,10.695,,,الـهـنـد,INDIA,233.721625,0.833,JEWELLERY OF GOLD,71131910,
85,40111000,إطارات من النوع المستخدم للسيارات,2175.433476,190949.422,,,الصـين,CHINA,794.993926,98770.889,TIRES OF A KIND USED ON MOTOR CARS,40111000,
86,40111000,إطارات من النوع المستخدم للسيارات,2175.433476,190949.422,,,الـيـابـان,JAPAN,465.506018,27975.867,TIRES OF A KIND USED ON MOTOR CARS,40111000,
87,40111000,إطارات من النوع المستخدم للسيارات,2175.433476,190949.422,,,كوريا الجنوبية,SOUTH KOREA,376.811093,26798.193,TIRES OF A KIND USED ON MOTOR CARS,40111000,
88,10011900,غيرها من تقاوي حنطه(قمح)ـ قاسيه او صلده للبذار ,2164.877639,2294855.914,,,بولندا,POLAND,1311.534039,1350054.275,DURUM WHEAT,10011900,
89,10011900,غيرها من تقاوي حنطه(قمح)ـ قاسيه او صلده للبذار ,2164.877639,2294855.914,,,روسيا الاتحادية,RUSSIAN FEDERATION,227.068816,246520,DURUM WHEAT,10011900,
90,10011900,غيرها من تقاوي حنطه(قمح)ـ قاسيه او صلده للبذار ,2164.877639,2294855.914,,,لتوانيا,LITHUANIA,220.429303,251380,DURUM WHEAT,10011900,
91,85176220,أجهزة أخرى لأنظمة خطوط التيار الناقل أو لأنظمة الخطوط الرقمية,2142.584469,4229.927,,,الصـين,CHINA,1436.166854,3825.664,"Other apparatus, for carrier-current line systems or for digital ",85176220,
92,85176220,أجهزة أخرى لأنظمة خطوط التيار الناقل أو لأنظمة الخطوط الرقمية,2142.584469,4229.927,,,الولايات المتحدة الامريكية,U.S.A,174.804272,77.896,"Other apparatus, for carrier-current line systems or for digital ",85176220,
93,85176220,أجهزة أخرى لأنظمة خطوط التيار الناقل أو لأنظمة الخطوط الرقمية,2142.584469,4229.927,,,مـاليزيا,MALAYSIA,148.667,123.378,"Other apparatus, for carrier-current line systems or for digital ",85176220,
94,87021000,سيارات للنقل العام بمحركات ضغط (ديزل ونصف ديزل),2093.372696,76804.193,,,الصـين,CHINA,1224.657202,58219.374,PUBLIC TYPE VEHICLES WITH COMPRESSION-IGNITION ENGINES,87021000,
95,87021000,سيارات للنقل العام بمحركات ضغط (ديزل ونصف ديزل),2093.372696,76804.193,,,المانيا,GERMANY,288.416622,3797.751,PUBLIC TYPE VEHICLES WITH COMPRESSION-IGNITION ENGINES,87021000,
96,87021000,سيارات للنقل العام بمحركات ضغط (ديزل ونصف ديزل),2093.372696,76804.193,,,بولندا,POLAND,190.804275,2549.369,PUBLIC TYPE VEHICLES WITH COMPRESSION-IGNITION ENGINES,87021000,
97,84071000,محركات الطائرات ، دواره او يتم الاشتعال فيها بالشرر,2083.180931,443.359,,,الولايات المتحدة الامريكية,U.S.A,1104.348292,289.565,"AIRCRAFT ENGINES, SPARK OR ROTARY",84071000,
98,84071000,محركات الطائرات ، دواره او يتم الاشتعال فيها بالشرر,2083.180931,443.359,,,المملكة المتحدة,UNITED KINGDOM,533.575264,73.219,"AIRCRAFT ENGINES, SPARK OR ROTARY",84071000,
99,84071000,محركات الطائرات ، دواره او يتم الاشتعال فيها بالشرر,2083.180931,443.359,,,فرنسا,FRANCE,360.359525,65.051,"AIRCRAFT ENGINES, SPARK OR ROTARY",84071000,
100,40112000,إطارات من النوع المستخدم للحافلات والشاحنات,2021.327078,229015.804,,,الصـين,CHINA,1156.31748,169734.093,TIRES OF A KIND USED ON BUSES OR LORRIES,40112000,
101,40112000,إطارات من النوع المستخدم للحافلات والشاحنات,2021.327078,229015.804,,,الـيـابـان,JAPAN,234.956685,15649.583,TIRES OF A KIND USED ON BUSES OR LORRIES,40112000,
