,Quantity/Units,Weights (Tons),Value(1000 SAR),Country Name,Country Code,Description,Commodity Code,value in Millions
4,3292,368,3004,UNITED ARAB EMIRATES,120,OTHER BOVINE ANIMALS,1022900,3.004
5,48652,19013,144297,BRAZIL,439,OTHER BOVINE ANIMALS,1022900,144.297
6,9228,4186,44258,SPAIN,526,OTHER BOVINE ANIMALS,1022900,44.258
7,17860,7035,75210,ROMANIA,540,OTHER BOVINE ANIMALS,1022900,75.21
8,5069,2031,19504,UKRAINE,544,OTHER BOVINE ANIMALS,1022900,19.504
9,28302,1231,19404,JORDAN,112,PURE-BRED BREEDING SHEEP,1041010,19.404
10,18375,564,10401,KUWAIT,113,PURE-BRED BREEDING SHEEP,1041010,10.401
11,167012,6335,63950,GEORGIA,160,PURE-BRED BREEDING SHEEP,1041010,63.95
12,899583,39090,508782,SUDAN,215,PURE-BRED BREEDING SHEEP,1041010,508.782
13,111363,2784,18540,DJIBOUTI,241,PURE-BRED BREEDING SHEEP,1041010,18.54
14,197172,4941,35521,SOMALIA,242,PURE-BRED BREEDING SHEEP,1041010,35.521
15,35190,1619,20454,URUGUAY,441,PURE-BRED BREEDING SHEEP,1041010,20.454
16,271758,11448,157291,SPAIN,526,PURE-BRED BREEDING SHEEP,1041010,157.291
17,810269,34015,417371,ROMANIA,540,PURE-BRED BREEDING SHEEP,1041010,417.371
18,12917,560,5595,UKRAINE,544,PURE-BRED BREEDING SHEEP,1041010,5.595
19,1571,54,653,Other Countries,997,PURE-BRED BREEDING SHEEP,1041010,0.653
20,457293,19695,318395,JORDAN,112,OTHER SHEEP,1041090,318.395
21,1914,73,1115,JORDAN,112,OTHER GOATS,1042090,1.115
22,3984,68,1133,SUDAN,215,OTHER GOATS,1042090,1.133
23,12954,194,1797,ETHIOPIA,240,OTHER GOATS,1042090,1.797
24,103361,2584,17328,DJIBOUTI,241,OTHER GOATS,1042090,17.328
25,197165,4940,35521,SOMALIA,242,OTHER GOATS,1042090,35.521
26,1698,58,506,Other Countries,997,OTHER GOATS,1042090,0.506
27,59410,3,1568,U.S.A,410,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",1051100,1.568
28,358782,12,18997,UNITED KINGDOM,521,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",1051100,18.997
29,37950,2,3658,"EUROPEAN UNION, N.E.S",950,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",1051100,3.658
30,22800,1,259,Other Countries,997,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",1051100,0.259
31,0,12,2404,JORDAN,112,Other Fowls of the species Gallus domesticus,1059490,2.404
32,0,2,1044,NETHERLANDS,518,Other Fowls of the species Gallus domesticus,1059490,1.044
33,0,53,20075,UNITED KINGDOM,521,Other Fowls of the species Gallus domesticus,1059490,20.075
34,0,13,5809,FRANCE,522,Other Fowls of the species Gallus domesticus,1059490,5.809
35,0,4,1743,SPAIN,526,Other Fowls of the species Gallus domesticus,1059490,1.743
