,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,الواردات حسب الأصناف والدول,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,,,,,,,Imports by Commodities and Countries,,,,,,,,,
1,,,,,,,,,,,,,,,,
2,,,,,,الوزن طن,القيمة مليون ريال,,عام,,2020,Year,,Value  (Million S R),Weight Tons,
3,,,,,,,,,,,الصادرات,,إعادة الصادرات,,المجموع,
4,,,,,,,,,,,Exports,,ReExports,,Total,
5,,الفصل,,,رقم البند,,,,,,الوزن,القيمة,الوزن,القيمة,الوزن,القيمة
6,,,وصف الفصل,Chapter Description,Item No.,الأصناف,Commodities,,,* سلع ذات وحدات عددية,Weight,Value,Weight,Value,Weight,Value
7,,01,حيوانات حية,LIVE ANIMALS,,,,,,,334369.58900000004,170.86136800000003,198306.016,142.240715,532675.6050000001,313.10208300000005
8,,,,,01012110,خيول من اصل عربي,PURE-BRED BREEDING HORSES OF ARABIC ORIGIN,,,,1,0.000404,0,0,1,0.000404
9,,,,,,,,دول الاتحاد الأوروبي,EUROPEAN UNION,*,1,0.000404,0,0,1,0.000404
10,,,,,01012910,خيول للرياضة,HORSES FOR SPORT,,,,191,3.2536400000000003,173,0.719495,364,3.973135
11,,,,,,,,دول الاتحاد الأوروبي,EUROPEAN UNION,*,26,2.878887,34,0.108575,60,2.9874620000000003
12,,,,,,,,دول الجامعة العربية الاخرى,OTHER ARAB LEAGUE COUNTRIES,*,23,0.077,30,0.109311,53,0.186311
13,,,,,,,,دول امريكا الشمالية,NORTH AMERICA,*,3,0.001288,0,0,3,0.001288
14,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,*,139,0.296465,109,0.501609,248,0.798074
15,,,,,01012990,غيرها من خيول,OTHER HORSES,,,,0,0,26,0.041639,26,0.041639
16,,,,,,,,دول الاتحاد الأوروبي,EUROPEAN UNION,*,0,0,26,0.041639,26,0.041639
17,,,,,01022100,أبقار أصيلة للانسال,PURE-BRED BREEDING BOVINE ANIMALS,,,,290,3.632425,0,0,290,3.632425
18,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,*,290,3.632425,0,0,290,3.632425
19,,,,,01022900,غيرها من أبقار,OTHER BOVINE ANIMALS,,,,0,0,120,0.122509,120,0.122509
20,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,*,0,0,120,0.122509,120,0.122509
21,,,,,01041010,حيوانات من فصيله الضان اصيله للانسال,PURE-BRED BREEDING SHEEP,,,,95099,67.2289,162736,86.400979,257835,153.629879
22,,,,,,,,دول الجامعة العربية الاخرى,OTHER ARAB LEAGUE COUNTRIES,*,0,0,400,0.28,400,0.28
23,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,*,95099,67.2289,162336,86.120979,257435,153.349879
