,Quantity/Units,Weight(Tons),Value(1000 SAR),Commodity Code,Commodity,Country Group
0,0,15765.183,241949.257,2071100,"MEAT, CONS. BWLS & EXTREM. OF TURKEY/CHICKEN:GALL. DOM.",Gulf Cooperation Council
1,0,290987.699,740453.872,4029110,"OTHER MILK, UNSWEETENED",Gulf Cooperation Council
2,0,83779.822,390287.427,4031000,YOGURT,Gulf Cooperation Council
3,0,22805.576,414107.638,4063000,"PROCESSED CHEESE, NOT GRATED OR POWDERED",Gulf Cooperation Council
4,0,45952.563,189859.825,8041021,STORED DATES,Gulf Cooperation Council
5,0,20413.597,190308.512,19021910,"MACARONI, VERMICELLI AND SIMILAR ITEMS WITHOUT EGGS",Gulf Cooperation Council
6,0,33317.011,274509.851,19054090,OTHER TOASTED PRODUCTS,Gulf Cooperation Council
7,0,15103.682,307413.788,19059080,"CRISPS (AS POP CORN, CHIPS AND THE LIKE)",Gulf Cooperation Council
8,0,90198.218,339463.427,20099090,OTHER MIXURES OF JUICES.,Gulf Cooperation Council
9,0,223000.0,288150.0,27075000,OTHER AROMATIC HYDROCARBON MIXTURES,Gulf Cooperation Council
10,0,9673478.478,11887264.281,27090000,CRUDE PETROLEUM OILS,Gulf Cooperation Council
11,0,314887.144,424769.129,27101113,REFORMED NAPHTHA,Gulf Cooperation Council
12,0,1330718.577,1778613.314,27101121,ENGINE  GASOLINE,Gulf Cooperation Council
13,0,1116865.029,1444496.422,27101122,JET AIRPLANE FUEL,Gulf Cooperation Council
14,0,886104.313,993047.57,27101131,ENGINE DIESEL,Gulf Cooperation Council
15,0,1915749.522,2410201.101,27101214,NATURAL GASOLINE,Gulf Cooperation Council
16,0,781390.0,1093140.525,27101229,FUEL FOR   OTHER PURPOSES,Gulf Cooperation Council
17,0,1057802.47,1072710.628,27101911,BASE OILS,Gulf Cooperation Council
18,0,274490.816,282410.73,28182000,OTHER ALUMINIUM OXIDE,Gulf Cooperation Council
19,0,180382.949,306653.088,29091910,TERT-BUTYL METHYLETHERS,Gulf Cooperation Council
20,0,33814.03,189843.94,29291000,ISOCYANATES,Gulf Cooperation Council
21,0,3549.814,527606.165,30049090,"OTHER MEDICINE, RETAIL",Gulf Cooperation Council
22,0,117869.384,421760.36,34022021,"DRY-POWDERED ORGANIC SURFACE-ACTIVE AGENTS, RETAIL",Gulf Cooperation Council
23,0,61984.612,343067.897,34022022,"FLUID ORGANIC SURFACE-ACTIVE AGENTS, RETAIL",Gulf Cooperation Council
24,0,294653.085,1063478.303,39011000,POLYETHYLENE HAVING SPECIFIC GRAVITY OF LESS THAN 0.94,Gulf Cooperation Council
25,0,285663.335,915852.652,39012000,POLYETHYLENE HAVING SPECIFIC GRAVITY OF 0.94 OR MORE,Gulf Cooperation Council
26,0,106021.591,414436.536,39019000,OTHER ETHYLENE POLYMERS,Gulf Cooperation Council
27,0,182065.057,645265.281,39021000,POLYPRO PYLENE,Gulf Cooperation Council
28,0,74941.96,263136.704,39041000,"POLYVINYL CHLORIDE, NOT MIXED WITH OTHER",Gulf Cooperation Council
29,0,106960.316,217412.715,68071000,ASPHALT IN ROLLS,Gulf Cooperation Council
30,0,20.227,4406836.41,71081210,GOLD INGOTS,Gulf Cooperation Council
31,0,4.262,403357.401,71131910,JEWELLERY OF GOLD,Gulf Cooperation Council
32,0,188585.472,340613.308,72131000,"HOT-ROLLED STEEL BARS WITH DEFORMATIONS, IRREGULAR COIL",Gulf Cooperation Council
33,0,47785.331,225942.801,73081000,BRIDGES AND BRIDGE-SECTIONS,Gulf Cooperation Council
34,0,50066.084,213238.612,73082000,TOWERS AND LATTICE MASTS OF IRON OR STEEL,Gulf Cooperation Council
35,0,97026.527,547467.155,73089090,OTHER IRON OR STEEL STRUCTURES OR PARTS,Gulf Cooperation Council
36,557,41.667,323401.812,84071000,"AIRCRAFT ENGINES, SPARK OR ROTARY",Gulf Cooperation Council
37,0,1528.068,194412.297,84314310,PARTS FOR WELL BORING DRILLS,Gulf Cooperation Council
38,2245913,535.171,1080725.118,85171200, Telephones for cellular networks or for other wireless networks,Gulf Cooperation Council
39,0,68374.736,938925.036,85442010,CO-AXIAL CABLE OVER 10 MM WIDE AND OVER 300 VOLTS,Gulf Cooperation Council
40,0,25309.255,276658.148,85446010,OTHER CONDUCTORS OVER 10 MM WIDE AND OVER 1000 V,Gulf Cooperation Council
