,Year,Oil Exports Value(Millions SAR),Oil Percentage of Total Exports,Non-oil Exports Value(millions SAR),Non-oil Percentage of Total Exports,Total exports
0,2011.0,1191052.099035,87.08941420067801,176567.73164899996,12.910585799321993,1367619.830684
1,2012.0,1265550.609938,86.88971713845149,190951.5535129998,13.110282861548516,1456502.163451
2,2013.0,1207080.083757,85.63746953096374,202443.2129589999,14.362530469036264,1409523.296716
3,2014.0,1067091.641953,83.09895941412537,217029.90358299995,16.90104058587463,1284121.545536
4,2015.0,573411.984959,75.12146891138435,189901.07756300003,24.878531088615656,763313.062522
5,2016.0,510729.487152,74.18832211949479,177693.53221399995,25.81167788050521,688423.019366
6,2017.0,638402.283358,76.74199344275446,193479.0044720001,23.25800655724554,831881.28783
7,2018.0,868442.402326,78.67035238655383,235458.08366499995,21.329647613446166,1103900.485991
8,2019.0,751828.128682,76.63798712366734,229184.234637,23.36201287633265,981012.363319
9,2020.0,447599.22526,68.65524622651746,204352.737425,31.34475377348253,651951.9626849999
10,2021.0,772750.031172,64.43,274900.3,35.57,1047650.3311719999
