,2018 Value(millions in SAR),2019 Value(millions in SAR),2020 Value(millions in SAR),Section Description,Section Number
5,6057.512578,5687.233568,5368.675468,Live animals; animal products,1
6,1440.949608,1563.584641,1634.052079,Vegetable products,2
7,819.818876,849.966497,861.6088080000001,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,3
8,5470.373403,5782.133899,5846.126337,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",4
9,872029.8530720001,754960.7585839999,451092.77603999997,Mineral products,5
10,75455.289785,69551.508281,57873.453738000004,Products of the chemical or allied industries,6
11,79667.031342,72833.580298,62728.867805,Plastics and articles thereof; rubber and articles thereof,7
12,270.407456,280.720176,169.362314,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",8
13,311.069498,364.556581,253.464176,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",9
14,2777.208284,2556.0653,2482.395784,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,10
15,2028.252427,1873.730113,2045.483365,Textiles and textile articles,11
16,80.914109,81.2567,51.349993,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",12
17,2161.095034,2058.660909,1677.223882,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",13
18,3613.703033,5739.889889,8554.909787999999,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin",14
19,20645.345694,16868.946345,16401.029776,Base metals and articles of base metal,15
20,11901.193786,12103.530969,10966.047606,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",16
21,15380.588908,22605.252704,19474.193307,"Vehicles, aircraft, vessels and associated transport equipment",17
22,1210.266146,1432.958403,1717.8130059999999,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",18
23,122.27027,207.180405,212.344988,Arms and ammunition; parts and accessories thereof,19
24,1644.691169,1634.561353,1582.0469950000002,Miscellaneous manufactured articles,20
25,812.651513,1976.287704,958.73743,"Works of art, collectors' pieces and antiques",21
