,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,الفهرس / Index
0,,,,,,,,,
1,الواردات حسب الاقسام,,,,,,,,
2,Imports by Section,,,,,,,,
3,رقم القسم,وصف القسم,2018,2019.0,2020.0,Section Description,"Sec.
No",,
4,,,القيمة (مليون ريال) / (Million Riyals),,,,,,
5,1,الحيوانات الحية والمنتجات الحيوانية,18095.450548,19507.619134,19013.048509,Live animals; animal products,1,,
6,2,منتجات نباتية,32996.027181,31123.980544,34922.104079,Vegetable products,2,,
7,3,شحوم ودهون وزيوت حيوانية أو نباتية ومنتجات تفككها؛ دهون غذائية محضرة؛ شموع من أصل حيواني أو نباتي,3521.849209,3338.453922,3363.130944,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,3,,
8,4,منتجات صناعة الأغذية؛ مشروبات؛ سوائل كحولية وخل؛ تبغ وأبدال تبغ مصنعة,25635.233829,27399.318015,28417.779143,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",4,,
9,5,المنتجات المعدنية,21090.437514,18021.236913,18612.873864,Mineral products,5,,
10,6,منتجات الصناعات الكيماوية وما يتصل بها,51715.771619,53854.494181,53404.397121,Products of the chemical or allied industries,6,,
11,7,لدائن ومصنوعاتها؛ مطاط ومصنوعاته,17486.718316,20567.953322,19462.28722,Plastics and articles thereof; rubber and articles thereof,7,,
12,8,صلال وجلود خام و جلود مدبوغة وجلود بفراء ومصنوعات هذه المواد؛ أصناف عدة الحيوانات و السراجة؛ لوازم السفر؛ حقائب يدوية وأوعية مماثلة لها؛ مصنوعات من مصارين الحيوانات (عدا مصارين دودة القز),1872.681936,2295.584415,1650.055971,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",8,,
13,9,خشـب ومصنوعاتــه؛ فحم خشبـــي؛ فلين ومصنوعاته؛ مصنوعات من القش أو من الحلفا أو من مواد الضفر الأُخر؛ أصناف صناعتي الحصر والسلال,4271.516713,4750.736646,5169.182124,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",9,,
14,10,عجائن من خشب أو من مواد ليفية سليلوزية أخر؛ ورق أو ورق مقوى (نفايا وفضلات) بغرض إعادة التصنيع (مسترجعة)؛ ورق وورق مقوى ومصنوعاتهما,7260.801908,7150.67374,6547.644869,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,10,,
15,11,مواد نسـجية ومصنوعات من هذه المواد,18115.072085,22732.145945,20018.080892,Textiles and textile articles,11,,
16,12,أحذية، أغطية رأس، مظلات مطر، مظلات شمس، عصي مشي، عصي بمقاعد، سياط، وسياط الفروسية، أجزاء هذه الأصناف؛ ريش محضر وأصناف مصنوعة منه؛ أزهار اصطناعية؛ مصنوعات من شعر بشري,3341.486274,4099.506056,3023.086301,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",12,,
17,13,مصنوعات من حجر أو جص أو إسمنت أو حرير صخري (اسبستوس) أو ميكا أو من مواد مماثلة؛ مصنوعات من خزف؛ زجاج ومصنوعاته,6930.86817,7631.411464,8153.245459,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",13,,
18,14,لؤلؤ طبيعي أو مستنبت، أحجار كريمة أو شبه كريمة، معادن ثمينة، معادن عادية مكسوة بقشرة من معادن ثمينة، مصنوعات من هذه المواد؛ حلي الغواية (مقلدة)؛ نقود,15725.216602,13506.827734,7173.299797,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin",14,,
19,15,معادن عادية ومصنوعاتها,43987.942217,48895.921336,49600.050179,Base metals and articles of base metal,15,,
20,16,"آلات وأجهزة آلية؛ معدات كهربائية؛ أجزاؤها؛ أجهزة تسجيل واذاعة الصوت والصورة وأجهزة تسجيل واذاعة الصوت والصورة في الإذاعة المرئية (التلفزيون)، أجزاء ولوازم هذه الأجهزة
",111167.035485,120291.009235,109093.738466,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",16,,
21,17,عربات، طائرات، بواخر، ومعدات نقل مماثلة,84651.755545,118264.134784,83009.123636,"Vehicles, aircraft, vessels and associated transport equipment",17,,
22,18,أدوات وأجهزة للبصريات أو للتصوير الفوتوغرافي أو للتصوير السينمائي أو للقياس أو للفحص والضبط الدقيق، أدوات وأجهزة للطب أو الجراحة؛ أصناف صناعة الساعات؛ أدوات موسيقية؛ أجزاء ولوازم هذه الأدوات والأجهز,15758.160291,16482.857929,16094.427194,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",18,,
23,19,أسلحة وذخائر؛ أجزاؤها ولوازمها,13867.239072,9872.298193,9529.140691,Arms and ammunition; parts and accessories thereof,19,,
24,20,سلع ومنتجات متـنوعة,12049.751506,13700.36864,13251.889371,Miscellaneous manufactured articles,20,,
25,21,تحف فنية، قطع للمجموعات وقطع أثرية,4451.674179,10874.922456,7982.00844,"Works of art, collectors' pieces and antiques",21,,
26,,الإجمالي,513992.69019900006,574361.4546040001,517490.59427000006,Total,,,
