,Quantity/Units,Weight(Tons),Value(million SAR),Country Group,Commodity,Commodity Code
5,585,159,100164,Gulf Cooperation Council,HORSES FOR SPORT,01012910
6,19,4,2200,Other Arab League Countries,HORSES FOR SPORT,01012910
7,1134,114,1104,Gulf Cooperation Council,OTHER BOVINE ANIMALS,01029000
8,17373,655,9639,Other Arab League Countries,OTHER SHEEP,01041090
9,4020,112,1977,Other Arab League Countries,OTHER GOATS,01042090
10,3504288,221,15719,Gulf Cooperation Council,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100
11,1928172,112,24188,Other Arab League Countries,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100
12,0,7,747,Gulf Cooperation Council,hens (for laying eggs),01059410
13,0,222,766,"African not Arabic,not Islamic",hens (for laying eggs),01059410
14,47120,7279,611523,Gulf Cooperation Council,Camels for sport and beauty contests,01061320
15,68056,41,833,Gulf Cooperation Council,"TAME AND WILD PIGEONS,PARTRIDGES,PHEASANTS,QUAIL,SNIPE,",01063910
16,0,653,2025,Other Arab League Countries,CARCASSES AND HALF-CARCASSES OF FRESH BOVINE ANIMALS,02011000
17,0,2180,6201,Islamic not Arabic countries,CARCASSES AND HALF-CARCASSES OF FRESH BOVINE ANIMALS,02011000
18,0,109,300,"African not Arabic,not Islamic",CARCASSES AND HALF-CARCASSES OF FRESH BOVINE ANIMALS,02011000
19,0,54,673,"Asian not Arabic ,not Islamic",OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
20,0,377,2807,Gulf Cooperation Council,CHOPPED BURGER         (3) (TALF DNUOR SI TI NEHW NEVE),02023010
21,0,475,1892,Other Arab League Countries,CHOPPED BURGER         (3) (TALF DNUOR SI TI NEHW NEVE),02023010
22,0,3226,35937,Gulf Cooperation Council,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
23,0,269,2627,Other Arab League Countries,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
24,0,32,628,Islamic not Arabic countries,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
25,0,1585,19675,"Asian not Arabic ,not Islamic",BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
26,0,16,447,"African not Arabic,not Islamic",BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
27,0,6,535,South America,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
28,0,110,1038,Other Arab League Countries,"CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN",02043000
29,0,64,1283,"Asian not Arabic ,not Islamic","OTHER CUTS WITH BONE IN OF SHEEP, FROZEN",02044200
30,0,472,2902,Gulf Cooperation Council,CHOPPED BURGER         (3) (TALF DNUOR SI TI NEHW NEVE),02044310
31,0,158,626,Other Arab League Countries,CHOPPED BURGER         (3) (TALF DNUOR SI TI NEHW NEVE),02044310
32,0,197,2387,Gulf Cooperation Council,"BONELESS SHEEP MEAT ,FROZEN    (3)",02044390
33,0,128,518,Other Arab League Countries,"BONELESS SHEEP MEAT ,FROZEN    (3)",02044390
34,0,9047,160968,Gulf Cooperation Council,"MEAT, CONS. BWLS & EXTREM. OF TURKEY/CHICKEN:GALL. DOM.",02071100
35,0,4334,49670,Gulf Cooperation Council,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
36,0,459,5763,Other Arab League Countries,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
37,0,181,1411,European Union,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
38,0,3598,71643,Gulf Cooperation Council,"Cuts and offal, fresh or chilled (gallus.domesticus )",02071300
39,0,108,1691,Other Arab League Countries,"Cuts and offal, fresh or chilled (gallus.domesticus )",02071300
40,0,306,620,"Asian not Arabic ,not Islamic","Cuts and offal, fresh or chilled (gallus.domesticus )",02071300
41,0,1331,14181,Gulf Cooperation Council,"Cuts and offal, frozen(chikens)",02071400
42,0,352,3218,Other Arab League Countries,"Cuts and offal, frozen(chikens)",02071400
43,0,1745,3038,"Asian not Arabic ,not Islamic","Cuts and offal, frozen(chikens)",02071400
44,0,89,1926,Other Arab League Countries,"FROZEN UNCUT MEAT, CONSUM. BOWELS & EXTREM. OF TURKEY.",02072500
45,0,21,462,Islamic not Arabic countries,"FROZEN UNCUT MEAT, CONSUM. BOWELS & EXTREM. OF TURKEY.",02072500
46,0,45,740,Gulf Cooperation Council,"FROZEN MEAT, BWLS & EXTR. OF DUCKS/GEESE/SUD. CHICKEN.",02074500
47,0,20,337,Other Arab League Countries,"FROZEN MEAT, BWLS & EXTR. OF DUCKS/GEESE/SUD. CHICKEN.",02074500
48,0,50,417,Gulf Cooperation Council,"FROZEN MEAT, BWLS & EXTR. OF DUCKS/GEESE/SUD. CHICKEN.",02075500
49,0,390,409,"Asian not Arabic ,not Islamic","FROZEN MEAT, BWLS & EXTR. OF DUCKS/GEESE/SUD. CHICKEN.",02075500
50,0,33,646,Gulf Cooperation Council,FRESH OR CHILLED PIGEON OR SIMILAR MEAT,02089031
51,0,218,4465,Gulf Cooperation Council,FROZEN PIGEON OR SIMILAR MEAT,02089032
52,0,30,653,Gulf Cooperation Council,Other meat and bowels pigon orsimiler ( fresh or frozen),02089099
53,0,293,670,Other Arab League Countries,Flour and Other Powders Suitable For Eating Meat or From The Bow,02109900
54,0,5725,12317,Gulf Cooperation Council,OTHER FRESH SALMONIDAE,03021900
55,0,45,1335,Other Arab League Countries,OTHER FRESH SALMONIDAE,03021900
56,0,7070,21098,Gulf Cooperation Council,OTHER FRESH FLAT FISH,03022900
57,0,4980,6638,Gulf Cooperation Council,INDIAN MACKEREL (RASTRELLIGER KANAGURTA),03024420
58,0,120,568,Gulf Cooperation Council,Swordfish (Xiphias gladius),03024700
