,Unnamed: 0,Unnamed: 1,Unnamed: 2,الصادرات حسب الاصناف,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,R
0,,,,Exports According to commodities,,,,,,,,,,,,
1,,الوزن طن,القيمة بالالف ريال,عام  2014  Year,,,,,,,,,Weight Tons,Value  (000 S R),,
2,رمز السلعة,السلعة,مجموعة الدول,صادرات     Export,,,إعادة     ReExport,,,المجموع     Total,,,Country Group,Commodity,Commodity Code,
3,,,,الكمية,وزن,قيمة,الكمية,وزن,قيمة,الكمية,وزن,قيمة,,,,
4,,,,Units,Weight,Value,Units,Weight,Value,Units,Weight,Value,,,,
5,01012910,خيول للرياضة,دول مجلس التعاون الخليجي,400,105,86277,185,53,13887,585,159,100164,Gulf Cooperation Council,HORSES FOR SPORT,01012910,
6,01012910,خيول للرياضة,دول الجامعة العربية الاخرى,0,0,0,19,4,2200,19,4,2200,Other Arab League Countries,HORSES FOR SPORT,01012910,
7,01029000,حيوانات اخر من فصيله الابقار,دول مجلس التعاون الخليجي,0,0,0,1134,114,1104,1134,114,1104,Gulf Cooperation Council,OTHER BOVINE ANIMALS,01029000,
8,01041090,حيوانات من فصيله الضان اخر,دول الجامعة العربية الاخرى,0,0,0,17373,655,9639,17373,655,9639,Other Arab League Countries,OTHER SHEEP,01041090,
9,01042090,غيرهامن فصيله الماعز,دول الجامعة العربية الاخرى,0,0,0,4020,112,1977,4020,112,1977,Other Arab League Countries,OTHER GOATS,01042090,
10,01051100,دجاج من فصائل جاللوس، لايزيد وزن الواحده منهاعن 185غرام,دول مجلس التعاون الخليجي,3504288,221,15719,0,0,0,3504288,221,15719,Gulf Cooperation Council,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100,
11,01051100,دجاج من فصائل جاللوس، لايزيد وزن الواحده منهاعن 185غرام,دول الجامعة العربية الاخرى,1928172,112,24188,0,0,0,1928172,112,24188,Other Arab League Countries,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100,
12,01059410,دجاج بياض,دول مجلس التعاون الخليجي,0,7,747,0,0,0,0,7,747,Gulf Cooperation Council,hens (for laying eggs),01059410,
13,01059410,دجاج بياض,دول افريقية عدا العربيةوالاسلامية,0,222,766,0,0,0,0,222,766,"African not Arabic,not Islamic",hens (for laying eggs),01059410,
14,01061320,--- جمال للمسابقات الرياضية والمزاينة,دول مجلس التعاون الخليجي,42282,6026,606425,4838,1253,5097,47120,7279,611523,Gulf Cooperation Council,Camels for sport and beauty contests,01061320,
15,01063910,حمام اليف حمام بري ،حجل ، تدرج قطا,دول مجلس التعاون الخليجي,68035,41,832,21,0,1,68056,41,833,Gulf Cooperation Council,"TAME AND WILD PIGEONS,PARTRIDGES,PHEASANTS,QUAIL,SNIPE,",01063910,
16,02011000,ذبائح كامله وانصاف ذبائح من لحوم فصيله الابقار طازجه أومبرة,دول الجامعة العربية الاخرى,0,0,0,0,653,2025,0,653,2025,Other Arab League Countries,CARCASSES AND HALF-CARCASSES OF FRESH BOVINE ANIMALS,02011000,
17,02011000,ذبائح كامله وانصاف ذبائح من لحوم فصيله الابقار طازجه أومبرة,دول اسلامية عدا العربية,0,0,0,0,2180,6201,0,2180,6201,Islamic not Arabic countries,CARCASSES AND HALF-CARCASSES OF FRESH BOVINE ANIMALS,02011000,
18,02011000,ذبائح كامله وانصاف ذبائح من لحوم فصيله الابقار طازجه أومبرة,دول افريقية عدا العربيةوالاسلامية,0,19,50,0,91,250,0,109,300,"African not Arabic,not Islamic",CARCASSES AND HALF-CARCASSES OF FRESH BOVINE ANIMALS,02011000,
19,02022000,قطع اخر بعظمهامن لحوم فصيله الابقار مجمده,دول اسيوية عدا العربية والاسلامية,0,0,0,0,54,673,0,54,673,"Asian not Arabic ,not Islamic",OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000,
20,02023010,مفروم بقري وان كان على هيئةاقراص (برغر),دول مجلس التعاون الخليجي,0,370,2710,0,7,97,0,377,2807,Gulf Cooperation Council,CHOPPED BURGER         (3) (TALF DNUOR SI TI NEHW NEVE),02023010,
21,02023010,مفروم بقري وان كان على هيئةاقراص (برغر),دول الجامعة العربية الاخرى,0,475,1892,0,0,0,0,475,1892,Other Arab League Countries,CHOPPED BURGER         (3) (TALF DNUOR SI TI NEHW NEVE),02023010,
22,02023090,غيرهامن لحم بقري بدون عظام,دول مجلس التعاون الخليجي,0,1684,15669,0,1542,20268,0,3226,35937,Gulf Cooperation Council,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
23,02023090,غيرهامن لحم بقري بدون عظام,دول الجامعة العربية الاخرى,0,259,2466,0,10,160,0,269,2627,Other Arab League Countries,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
24,02023090,غيرهامن لحم بقري بدون عظام,دول اسلامية عدا العربية,0,28,573,0,4,55,0,32,628,Islamic not Arabic countries,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
25,02023090,غيرهامن لحم بقري بدون عظام,دول اسيوية عدا العربية والاسلامية,0,0,0,0,1585,19675,0,1585,19675,"Asian not Arabic ,not Islamic",BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
26,02023090,غيرهامن لحم بقري بدون عظام,دول افريقية عدا العربيةوالاسلامية,0,16,447,0,0,0,0,16,447,"African not Arabic,not Islamic",BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
27,02023090,غيرهامن لحم بقري بدون عظام,دول امريكا الجنوبية,0,0,0,0,6,535,0,6,535,South America,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
28,02043000,ذبائح كامله وانصاف ذبائح حملان،مجمده,دول الجامعة العربية الاخرى,0,0,0,0,110,1038,0,110,1038,Other Arab League Countries,"CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN",02043000,
29,02044200,قطع اخر بعظمها من فصيله الضاءن ، مجمده,دول اسيوية عدا العربية والاسلامية,0,0,0,0,64,1283,0,64,1283,"Asian not Arabic ,not Islamic","OTHER CUTS WITH BONE IN OF SHEEP, FROZEN",02044200,
30,02044310,مفروم غنم وان كان على هيئة اقراص للبرقر (3),دول مجلس التعاون الخليجي,0,472,2902,0,0,0,0,472,2902,Gulf Cooperation Council,CHOPPED BURGER         (3) (TALF DNUOR SI TI NEHW NEVE),02044310,
31,02044310,مفروم غنم وان كان على هيئة اقراص للبرقر (3),دول الجامعة العربية الاخرى,0,157,619,0,0,7,0,158,626,Other Arab League Countries,CHOPPED BURGER         (3) (TALF DNUOR SI TI NEHW NEVE),02044310,
32,02044390,غيرها من لحم غنم بدون عظم (3),دول مجلس التعاون الخليجي,0,196,2374,0,1,13,0,197,2387,Gulf Cooperation Council,"BONELESS SHEEP MEAT ,FROZEN    (3)",02044390,
33,02044390,غيرها من لحم غنم بدون عظم (3),دول الجامعة العربية الاخرى,0,127,505,0,1,13,0,128,518,Other Arab League Countries,"BONELESS SHEEP MEAT ,FROZEN    (3)",02044390,
34,02071100,لحوم وأحشاءوأطراف دجاج ( جالوس دوميستكوس) غيرمقطعة مبردة,دول مجلس التعاون الخليجي,0,9047,160968,0,0,0,0,9047,160968,Gulf Cooperation Council,"MEAT, CONS. BWLS & EXTREM. OF TURKEY/CHICKEN:GALL. DOM.",02071100,
35,02071200,"لحوم وأحشاء دجاج  ( جالوس دوميستكوس) غيرمقطعه مجمدة ,",دول مجلس التعاون الخليجي,0,4315,49578,0,19,92,0,4334,49670,Gulf Cooperation Council,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200,
36,02071200,"لحوم وأحشاء دجاج  ( جالوس دوميستكوس) غيرمقطعه مجمدة ,",دول الجامعة العربية الاخرى,0,459,5763,0,0,0,0,459,5763,Other Arab League Countries,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200,
37,02071200,"لحوم وأحشاء دجاج  ( جالوس دوميستكوس) غيرمقطعه مجمدة ,",دول الاتحاد الأوروبي,0,0,0,0,181,1411,0,181,1411,European Union,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200,
38,02071300,قطع وأحشاء وأطراف، طازجة أو مبردة (من دجاج جالوس دوميستكوس ),دول مجلس التعاون الخليجي,0,3598,71643,0,0,0,0,3598,71643,Gulf Cooperation Council,"Cuts and offal, fresh or chilled (gallus.domesticus )",02071300,
39,02071300,قطع وأحشاء وأطراف، طازجة أو مبردة (من دجاج جالوس دوميستكوس ),دول الجامعة العربية الاخرى,0,98,1445,0,10,246,0,108,1691,Other Arab League Countries,"Cuts and offal, fresh or chilled (gallus.domesticus )",02071300,
40,02071300,قطع وأحشاء وأطراف، طازجة أو مبردة (من دجاج جالوس دوميستكوس ),دول اسيوية عدا العربية والاسلامية,0,306,620,0,0,0,0,306,620,"Asian not Arabic ,not Islamic","Cuts and offal, fresh or chilled (gallus.domesticus )",02071300,
41,02071400,"قطع وأحشاء وأطراف، مجمدة.(دجاج جالوس,دوميستكوس)",دول مجلس التعاون الخليجي,0,1064,12415,0,267,1766,0,1331,14181,Gulf Cooperation Council,"Cuts and offal, frozen(chikens)",02071400,
42,02071400,"قطع وأحشاء وأطراف، مجمدة.(دجاج جالوس,دوميستكوس)",دول الجامعة العربية الاخرى,0,352,3218,0,0,0,0,352,3218,Other Arab League Countries,"Cuts and offal, frozen(chikens)",02071400,
43,02071400,"قطع وأحشاء وأطراف، مجمدة.(دجاج جالوس,دوميستكوس)",دول اسيوية عدا العربية والاسلامية,0,1622,2581,0,123,457,0,1745,3038,"Asian not Arabic ,not Islamic","Cuts and offal, frozen(chikens)",02071400,
44,02072500,لحوم واحشاءواطراف من ديوك رومية غيرمقطعه مجمدة,دول الجامعة العربية الاخرى,0,57,1193,0,32,733,0,89,1926,Other Arab League Countries,"FROZEN UNCUT MEAT, CONSUM. BOWELS & EXTREM. OF TURKEY.",02072500,
45,02072500,لحوم واحشاءواطراف من ديوك رومية غيرمقطعه مجمدة,دول اسلامية عدا العربية,0,21,462,0,0,0,0,21,462,Islamic not Arabic countries,"FROZEN UNCUT MEAT, CONSUM. BOWELS & EXTREM. OF TURKEY.",02072500,
