,Quantity/Units,Weight(1000 Tons),Value(million SAR),Country Group,Commodity,Commodity Code
5,408,0,1,Gulf Cooperation Council,HORSES FOR SPORT,01012910
6,54,0,1,Other Arab League Countries,HORSES FOR SPORT,01012910
7,132908,3,65,Gulf Cooperation Council,PURE-BRED BREEDING SHEEP,01041010
8,2983,0,2,Other Arab League Countries,PURE-BRED BREEDING SHEEP,01041010
9,1190,0,1,Other Arab League Countries,OTHER SHEEP,01041090
10,590,0,0,Other Country Groups,OTHER SHEEP,01041090
11,0,0,6,Gulf Cooperation Council,Other Fowls of the species Gallus domesticus,01059490
12,0,0,21,Other Arab League Countries,Other Fowls of the species Gallus domesticus,01059490
13,0,0,0,Other Country Groups,Other Fowls of the species Gallus domesticus,01059490
14,2565,1,12,Gulf Cooperation Council,Pure-bred breeding camels,01061310
15,5,0,0,Other Country Groups,Pure-bred breeding camels,01061310
16,37833,10,222,Gulf Cooperation Council,Camels for sport and beauty contests,01061320
17,50,0,0,Other Country Groups,Camels for sport and beauty contests,01061320
18,0,0,1,Gulf Cooperation Council,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
19,0,0,5,"Asian not Arabic ,not Islamic",OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
20,0,0,2,Gulf Cooperation Council,MINCED MEAT OF BOVINE ANIMALS,02023010
21,0,0,1,Other Arab League Countries,MINCED MEAT OF BOVINE ANIMALS,02023010
22,0,2,39,Gulf Cooperation Council,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
23,0,1,6,Other Arab League Countries,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
24,0,1,7,"Asian not Arabic ,not Islamic",BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
25,0,0,0,Other Country Groups,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
26,0,0,1,Other Arab League Countries,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000
27,0,0,1,Islamic not Arabic countries,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000
28,0,0,0,Other Country Groups,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000
29,0,1,2,Other Arab League Countries,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN",02044100
30,0,0,0,Other Country Groups,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN",02044100
31,0,1,3,Other Arab League Countries,"BONELESS SHEEP MEAT ,FROZEN",02044390
