,Unnamed: 0,Unnamed: 1,Unnamed: 2,الصادرات حسب الاصناف,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,R
0,,,,Exports According to commodities,,,,,,,,,,,
1,,الوزن طن,القيمة بالالف ريال,عام  2013  Year,,,,,,,,,Weight Tons,Value  (000 S R),
2,رمز السلعة,السلعة,مجموعة الدول,صادرات     Export,,,إعادة     ReExport,,,المجموع     Total,,,Country Group,Commodity,Commodity Code
3,,,,الكمية,وزن,قيمة,الكمية,وزن,قيمة,الكمية,وزن,قيمة,,,
4,,,,Units,Weight,Value,Units,Weight,Value,Units,Weight,Value,,,
5,01012910,خيول للرياضة,دول مجلس التعاون الخليجي,152,33,1113,234,59,1627,386,92,2740,Gulf Cooperation Council,HORSES FOR SPORT,01012910
6,01041010,حيوانات من فصيله الضان اصيله للانسال,دول مجلس التعاون الخليجي,676,13,822,0,0,0,676,13,822,Gulf Cooperation Council,PURE-BRED BREEDING SHEEP,01041010
7,01041090,حيوانات من فصيله الضان اخر,دول مجلس التعاون الخليجي,2454,69,1311,61,2,61,2515,71,1372,Gulf Cooperation Council,OTHER SHEEP,01041090
8,01041090,حيوانات من فصيله الضان اخر,دول الجامعة العربية الاخرى,0,0,0,77070,2969,57790,77070,2969,57790,Other Arab League Countries,OTHER SHEEP,01041090
9,01042090,غيرهامن فصيله الماعز,دول مجلس التعاون الخليجي,4921,141,10126,0,0,0,4921,141,10126,Gulf Cooperation Council,OTHER GOATS,01042090
10,01042090,غيرهامن فصيله الماعز,دول الجامعة العربية الاخرى,0,0,0,23256,625,11997,23256,625,11997,Other Arab League Countries,OTHER GOATS,01042090
11,01051100,دجاج من فصائل جاللوس، لايزيد وزن الواحده منهاعن 185غرام,دول مجلس التعاون الخليجي,2629016,166,16880,0,0,0,2629016,166,16880,Gulf Cooperation Council,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100
12,01051100,دجاج من فصائل جاللوس، لايزيد وزن الواحده منهاعن 185غرام,دول الجامعة العربية الاخرى,1400140,90,18432,0,0,0,1400140,90,18432,Other Arab League Countries,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100
13,01059410,دجاج بياض,دول مجلس التعاون الخليجي,0,7,588,0,0,0,0,7,588,Gulf Cooperation Council,hens (for laying eggs),01059410
14,01059420,دجاج لاحم,دول الجامعة العربية الاخرى,0,102,622,0,0,0,0,102,622,Other Arab League Countries,chickens (for meat),01059420
15,01059490,غيرهـا من ديوك ودجاجات من جنسجالوس دوميستكوس,دول الجامعة العربية الاخرى,0,6,763,0,0,0,0,6,763,Other Arab League Countries,Other Fowls of the species Gallus domesticus,01059490
16,01061320,--- جمال للمسابقات الرياضية والمزاينة,دول مجلس التعاون الخليجي,26348,5645,121993,1505,296,2530,27853,5941,124523,Gulf Cooperation Council,Camels for sport and beauty contests,01061320
17,01061320,--- جمال للمسابقات الرياضية والمزاينة,دول الجامعة العربية الاخرى,247,45,1220,0,0,0,247,45,1220,Other Arab League Countries,Camels for sport and beauty contests,01061320
18,01061390,غيرها من جمال,دول مجلس التعاون الخليجي,17140,1760,186564,0,0,0,17140,1760,186564,Gulf Cooperation Council,- Other of camels,01061390
19,01063910,حمام اليف حمام بري ،حجل ، تدرج قطا,دول مجلس التعاون الخليجي,74684,23,744,0,0,0,74684,23,744,Gulf Cooperation Council,"TAME AND WILD PIGEONS,PARTRIDGES,PHEASANTS,QUAIL,SNIPE,",01063910
20,02013000,لحوم بدون عظم من فصيله الابقار طازجه ،,دول الجامعة العربية الاخرى,0,36,587,0,0,0,0,36,587,Other Arab League Countries,BONELESS MEAT OF FRESH BOVINE ANIMALS,02013000
21,02022000,قطع اخر بعظمهامن لحوم فصيله الابقار مجمده,دول مجلس التعاون الخليجي,0,214,965,0,0,0,0,214,965,Gulf Cooperation Council,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
22,02023010,مفروم بقري وان كان على هيئةاقراص (برغر),دول مجلس التعاون الخليجي,0,275,1711,0,1,18,0,277,1729,Gulf Cooperation Council,CHOPPED BURGER         (3) (TALF DNUOR SI TI NEHW NEVE),02023010
23,02023010,مفروم بقري وان كان على هيئةاقراص (برغر),دول الجامعة العربية الاخرى,0,339,1179,0,0,0,0,339,1179,Other Arab League Countries,CHOPPED BURGER         (3) (TALF DNUOR SI TI NEHW NEVE),02023010
24,02023090,غيرهامن لحم بقري بدون عظام,دول مجلس التعاون الخليجي,0,1581,9293,0,272,5015,0,1854,14307,Gulf Cooperation Council,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
25,02023090,غيرهامن لحم بقري بدون عظام,دول الجامعة العربية الاخرى,0,117,958,0,14,158,0,132,1116,Other Arab League Countries,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
26,02023090,غيرهامن لحم بقري بدون عظام,دول اسيوية عدا العربية والاسلامية,0,0,0,0,857,11460,0,857,11460,"Asian not Arabic ,not Islamic",BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
27,02023090,غيرهامن لحم بقري بدون عظام,دول امريكا الجنوبية,0,25,440,0,0,0,0,25,440,South America,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
28,02041000,ذبائح كامله وانصاف ذبائح حملان ، طازجه او مبرده,دول الجامعة العربية الاخرى,0,0,0,0,93,300,0,93,300,Other Arab League Countries,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000
29,02041000,ذبائح كامله وانصاف ذبائح حملان ، طازجه او مبرده,دول اسلامية عدا العربية,0,0,0,0,129,400,0,129,400,Islamic not Arabic countries,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000
30,02044100,ذبائح كامله وانصاف ذبائح من فصيله الضاءن ، مجمده,دول اسلامية عدا العربية,0,0,0,0,261,2700,0,261,2700,Islamic not Arabic countries,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN",02044100
31,02044310,مفروم غنم وان كان على هيئة اقراص للبرقر (3),دول مجلس التعاون الخليجي,0,252,1836,0,0,5,0,252,1841,Gulf Cooperation Council,CHOPPED BURGER         (3) (TALF DNUOR SI TI NEHW NEVE),02044310
32,02044390,غيرها من لحم غنم بدون عظم (3),دول مجلس التعاون الخليجي,0,58,1176,0,0,0,0,58,1176,Gulf Cooperation Council,"BONELESS SHEEP MEAT ,FROZEN    (3)",02044390
33,02044390,غيرها من لحم غنم بدون عظم (3),دول الجامعة العربية الاخرى,0,348,472,0,2,3,0,350,475,Other Arab League Countries,"BONELESS SHEEP MEAT ,FROZEN    (3)",02044390
34,02069090,احشاء واطراف مجمده من فصائل اخرى,دول مجلس التعاون الخليجي,0,226,1332,0,0,0,0,226,1332,Gulf Cooperation Council,FROZEN OFFAL OF OTHER ANIMALS,02069090
35,02071100,لحوم وأحشاءوأطراف دجاج ( جالوس دوميستكوس) غيرمقطعة مبردة,دول مجلس التعاون الخليجي,0,9166,147705,0,0,0,0,9166,147705,Gulf Cooperation Council,"MEAT, CONS. BWLS & EXTREM. OF TURKEY/CHICKEN:GALL. DOM.",02071100
36,02071100,لحوم وأحشاءوأطراف دجاج ( جالوس دوميستكوس) غيرمقطعة مبردة,دول الجامعة العربية الاخرى,0,93,1592,0,0,0,0,93,1592,Other Arab League Countries,"MEAT, CONS. BWLS & EXTREM. OF TURKEY/CHICKEN:GALL. DOM.",02071100
37,02071200,"لحوم وأحشاء دجاج  ( جالوس دوميستكوس) غيرمقطعه مجمدة ,",دول مجلس التعاون الخليجي,0,5300,59260,0,392,3148,0,5692,62408,Gulf Cooperation Council,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
38,02071200,"لحوم وأحشاء دجاج  ( جالوس دوميستكوس) غيرمقطعه مجمدة ,",دول الجامعة العربية الاخرى,0,440,5791,0,0,0,0,440,5791,Other Arab League Countries,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200
