,Unnamed: 0,Unnamed: 1,Unnamed: 2,الصادرات حسب الاصناف,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,R
0,,,,Exports According to commodities,,,,,,,,,,,,
1,,الوزن الف طن,القيمة (مليون ريال),عام  2016  Year,,,,,,,,,Weight Thousands Tons,Value (Millions S R),,
2,رمز السلعة,السلعة,مجموعة الدول,صادرات     Export,,,إعادة     ReExport,,,المجموع     Total,,,Country Group,Commodity,Commodity Code,
3,,,,الكمية,وزن,قيمة,الكمية,وزن,قيمة,الكمية,وزن,قيمة,,,,
4,,,,Units,Weight,Value,Units,Weight,Value,Units,Weight,Value,,,,
5,01012910,خيول للرياضة,دول مجلس التعاون الخليجي,462,0,4,141,0,2,603,0,5,Gulf Cooperation Council,HORSES FOR SPORT,01012910,
6,01012910,خيول للرياضة, مجموعات دول أخرى ,21,0,0,1,0,0,22,0,0,Other Country Groups,HORSES FOR SPORT,01012910,
7,01041010,حيوانات من فصيله الضان اصيله للانسال,دول مجلس التعاون الخليجي,0,0,0,71582,2,48,71582,2,48,Gulf Cooperation Council,PURE-BRED BREEDING SHEEP,01041010,
8,01041090,حيوانات من فصيله الضان اخر,دول مجلس التعاون الخليجي,81,0,0,1386,0,1,1467,0,1,Gulf Cooperation Council,OTHER SHEEP,01041090,
9,01041090,حيوانات من فصيله الضان اخر,دول الجامعة العربية الاخرى,0,0,0,8657,0,6,8657,0,6,Other Arab League Countries,OTHER SHEEP,01041090,
10,01051100,دجاج من فصائل جاللوس، لايزيد وزن الواحده منهاعن 185غرام,دول مجلس التعاون الخليجي,0,0,10,0,0,0,0,0,10,Gulf Cooperation Council,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100,
11,01051100,دجاج من فصائل جاللوس، لايزيد وزن الواحده منهاعن 185غرام,دول الجامعة العربية الاخرى,0,0,4,0,0,0,0,0,4,Other Arab League Countries,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100,
12,01051100,دجاج من فصائل جاللوس، لايزيد وزن الواحده منهاعن 185غرام, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100,
13,01059420,دجاج لاحم,دول الجامعة العربية الاخرى,0,0,1,0,3,35,0,3,36,Other Arab League Countries,chickens (for meat),01059420,
14,01059420,دجاج لاحم, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,chickens (for meat),01059420,
15,01059490,غيرهـا من ديوك ودجاجات من جنسجالوس دوميستكوس,دول مجلس التعاون الخليجي,0,0,13,0,0,0,0,0,13,Gulf Cooperation Council,Other Fowls of the species Gallus domesticus,01059490,
16,01059490,غيرهـا من ديوك ودجاجات من جنسجالوس دوميستكوس,دول الجامعة العربية الاخرى,0,0,23,0,0,0,0,0,23,Other Arab League Countries,Other Fowls of the species Gallus domesticus,01059490,
17,01059490,غيرهـا من ديوك ودجاجات من جنسجالوس دوميستكوس, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,Other Fowls of the species Gallus domesticus,01059490,
18,01061310,جمال أصيلة للانسال,دول مجلس التعاون الخليجي,0,0,0,4754,1,37,4754,1,37,Gulf Cooperation Council,Pure-bred breeding camels,01061310,
19,01061310,جمال أصيلة للانسال, مجموعات دول أخرى ,1,0,0,5,0,0,6,0,0,Other Country Groups,Pure-bred breeding camels,01061310,
20,01061320,جمال للمسابقات الرياضية والمزاينة,دول مجلس التعاون الخليجي,45836,7,85,3450,1,20,49286,8,105,Gulf Cooperation Council,Camels for sport and beauty contests,01061320,
21,01061320,جمال للمسابقات الرياضية والمزاينة, مجموعات دول أخرى ,8,0,0,0,0,0,8,0,0,Other Country Groups,Camels for sport and beauty contests,01061320,
22,01063910,حمام اليف حمام بري ،حجل ، تدرج قطا,دول مجلس التعاون الخليجي,143915,0,1,0,0,0,143915,0,1,Gulf Cooperation Council,"TAME AND WILD PIGEONS,PARTRIDGES,PHEASANTS,QUAIL,SNIPE,",01063910,
23,02021000,ذبائح كاملة وأنصاف ذبائح من لحوم فصيلة الأبقار مجمدة,دول اسيوية عدا العربية والاسلامية,0,0,0,0,0,2,0,0,2,"Asian not Arabic ,not Islamic",CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,02021000,
24,02022000,قطع أخر بعظمها من لحوم فصيلة الأبقار مجمدة,دول اسيوية عدا العربية والاسلامية,0,0,0,0,0,1,0,0,1,"Asian not Arabic ,not Islamic",OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000,
25,02023010,مفروم بقري وإن كان على هيئة أقراص (برغر),دول مجلس التعاون الخليجي,0,1,5,0,0,0,0,1,5,Gulf Cooperation Council,MINCED MEAT OF BOVINE ANIMALS,02023010,
26,02023010,مفروم بقري وإن كان على هيئة أقراص (برغر), مجموعات دول أخرى ,0,0,0,0,0,0,0,0,1,Other Country Groups,MINCED MEAT OF BOVINE ANIMALS,02023010,
27,02023090,غيرها من لحم بقري بدون عظام,دول مجلس التعاون الخليجي,0,0,2,0,0,2,0,0,4,Gulf Cooperation Council,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
28,02023090,غيرها من لحم بقري بدون عظام,دول الجامعة العربية الاخرى,0,0,4,0,0,0,0,0,4,Other Arab League Countries,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
29,02023090,غيرها من لحم بقري بدون عظام,دول اسيوية عدا العربية والاسلامية,0,0,0,0,1,17,0,1,17,"Asian not Arabic ,not Islamic",BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
30,02023090,غيرها من لحم بقري بدون عظام, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
31,02041000,ذبائح كاملة وأنصاف ذبائح حملان، طازجة أو مبردة,دول الجامعة العربية الاخرى,0,0,0,0,0,1,0,0,1,Other Arab League Countries,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000,
32,02041000,ذبائح كاملة وأنصاف ذبائح حملان، طازجة أو مبردة,دول اسلامية عدا العربية,0,0,0,0,1,2,0,1,2,Islamic not Arabic countries,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000,
33,02041000,ذبائح كاملة وأنصاف ذبائح حملان، طازجة أو مبردة, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000,
34,02043000,ذبائح كاملة وأنصاف ذبائح حملان، مجمدة,دول الجامعة العربية الاخرى,0,0,1,0,0,0,0,0,1,Other Arab League Countries,"CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN",02043000,
35,02043000,ذبائح كاملة وأنصاف ذبائح حملان، مجمدة, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,"CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN",02043000,
