,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,الفهرس / Index
0,,,,,,,,,
1,الصادرات حسب الاقسام,,,,,,,,
2,Exports by Section,,,,,,,,
3,رقم القسم,وصف القسم,2018,2019.0,2020.0,Section Description,"Sec.
No",,
4,,,القيمة (مليون ريال) / (Million Riyals),,,,,,
5,1,الحيوانات الحية والمنتجات الحيوانية,6057.512578,5687.233568,5368.675468,Live animals; animal products,1,,
6,2,منتجات نباتية,1440.949608,1563.584641,1634.052079,Vegetable products,2,,
7,3,شحوم ودهون وزيوت حيوانية أو نباتية ومنتجات تفككها؛ دهون غذائية محضرة؛ شموع من أصل حيواني أو نباتي,819.818876,849.966497,861.6088080000001,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,3,,
8,4,منتجات صناعة الأغذية؛ مشروبات؛ سوائل كحولية وخل؛ تبغ وأبدال تبغ مصنعة,5470.373403,5782.133899,5846.126337,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",4,,
9,5,المنتجات المعدنية,872029.8530720001,754960.7585839999,451092.77603999997,Mineral products,5,,
10,6,منتجات الصناعات الكيماوية وما يتصل بها,75455.289785,69551.508281,57873.453738000004,Products of the chemical or allied industries,6,,
11,7,لدائن ومصنوعاتها؛ مطاط ومصنوعاته,79667.031342,72833.580298,62728.867805,Plastics and articles thereof; rubber and articles thereof,7,,
12,8,صلال وجلود خام و جلود مدبوغة وجلود بفراء ومصنوعات هذه المواد؛ أصناف عدة الحيوانات و السراجة؛ لوازم السفر؛ حقائب يدوية وأوعية مماثلة لها؛ مصنوعات من مصارين الحيوانات (عدا مصارين دودة القز),270.407456,280.720176,169.362314,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",8,,
13,9,خشـب ومصنوعاتــه؛ فحم خشبـــي؛ فلين ومصنوعاته؛ مصنوعات من القش أو من الحلفا أو من مواد الضفر الأُخر؛ أصناف صناعتي الحصر والسلال,311.069498,364.556581,253.464176,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",9,,
14,10,عجائن من خشب أو من مواد ليفية سليلوزية أخر؛ ورق أو ورق مقوى (نفايا وفضلات) بغرض إعادة التصنيع (مسترجعة)؛ ورق وورق مقوى ومصنوعاتهما,2777.208284,2556.0653,2482.395784,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,10,,
15,11,مواد نسـجية ومصنوعات من هذه المواد,2028.252427,1873.730113,2045.483365,Textiles and textile articles,11,,
16,12,أحذية، أغطية رأس، مظلات مطر، مظلات شمس، عصي مشي، عصي بمقاعد، سياط، وسياط الفروسية، أجزاء هذه الأصناف؛ ريش محضر وأصناف مصنوعة منه؛ أزهار اصطناعية؛ مصنوعات من شعر بشري,80.914109,81.2567,51.349993,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",12,,
17,13,مصنوعات من حجر أو جص أو إسمنت أو حرير صخري (اسبستوس) أو ميكا أو من مواد مماثلة؛ مصنوعات من خزف؛ زجاج ومصنوعاته,2161.095034,2058.660909,1677.223882,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",13,,
18,14,لؤلؤ طبيعي أو مستنبت، أحجار كريمة أو شبه كريمة، معادن ثمينة، معادن عادية مكسوة بقشرة من معادن ثمينة، مصنوعات من هذه المواد؛ حلي الغواية (مقلدة)؛ نقود,3613.703033,5739.889889,8554.909787999999,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin",14,,
19,15,معادن عادية ومصنوعاتها,20645.345694,16868.946345,16401.029776,Base metals and articles of base metal,15,,
20,16,آلات وأجهزة آلية؛ معدات كهربائية؛ أجزاؤها؛ أجهزة تسجيل واذاعة الصوت والصورة وأجهزة تسجيل واذاعة الصوت والصورة في الإذاعة المرئية (التلفزيون)، أجزاء ولوازم هذه الأجهزة,11901.193786,12103.530969,10966.047606,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",16,,
21,17,عربات، طائرات، بواخر، ومعدات نقل مماثلة,15380.588908,22605.252704,19474.193307,"Vehicles, aircraft, vessels and associated transport equipment",17,,
22,18,أدوات وأجهزة للبصريات أو للتصوير الفوتوغرافي أو للتصوير السينمائي أو للقياس أو للفحص والضبط الدقيق، أدوات وأجهزة للطب أو الجراحة؛ أصناف صناعة الساعات؛ أدوات موسيقية؛ أجزاء ولوازم هذه الأدوات والأجهز,1210.266146,1432.958403,1717.8130059999999,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",18,,
23,19,أسلحة وذخائر؛ أجزاؤها ولوازمها,122.27027,207.180405,212.344988,Arms and ammunition; parts and accessories thereof,19,,
24,20,سلع ومنتجات متـنوعة,1644.691169,1634.561353,1582.0469950000002,Miscellaneous manufactured articles,20,,
25,21,تحف فنية، قطع للمجموعات وقطع أثرية,812.651513,1976.287704,958.73743,"Works of art, collectors' pieces and antiques",21,,
26,,الإجمالي,1103900.485991,981012.3633189999,651951.962685,Total,,,
