,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,R
0,,التجارة حسب طبيعة المواد,,,,,,,,,
1,,Trade by Nature of Items,,,,,,,,,
2,,,,,,,,,,,
3,,الوزن (الف طن),القيمة (مليون ريال),,,,Weight(1000 Tons),,Value (Millions S R),,
4,التجارة,المواد,2018,,2019,,2020,,,,
5,التجارة,,الوزن,القيمة,الوزن,القيمة,الوزن,القيمة,Items,Trade,
6,,,Weight,Value,Weight,Value,Weight,Value,,,
7,واردات,خام,26661,26376,15299,19603,19426,22211,RAW MATERIAL,Imports,
8,واردات,نصف مصنعة,25868,123648,35094,127428,36109,124171,SEMI FINISHED PRODUCTS,Imports,
9,واردات,مصنعة,22711,363968,27119,427330,30603,371109,FINISHED PRODUCTS,Imports,
10,الصادرات,خام,371803,722108,357130,639256,342440,387861,RAW MATERIAL,Exports,
11,الصادرات,نصف مصنعة,63030,183069,67896,167011,69502,148533,SEMI FINISHED PRODUCTS,Exports,
12,الصادرات,مصنعة,74965,198724,67236,174745,58589,115558,FINISHED PRODUCTS,Exports,
