,Unnamed: 0,Unnamed: 1,الصادرات حسب مجموعات الدول و أهم الاصناف,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,R
0,,,Exports by Country Groups and Major Commodities,,,,,,,,,,,,,
1,الوزن طن,القيمة بالاف ريال,,,,,عام,2020,Year,,,,,Weight(Tons),Value (000 S R),
2,,,كود السلعة,الكمية,صادرات,,,إعادة,,,المجموع,,,,,
3,,,,,Export,,,ReExport,,,Total,,,,,
4,مجموعة الدول,الوصف,,Units,الوزن طن,القيمة بالالف ريال,الكمية,الوزن طن,القيمة بالالف ريال,الكمية,الوزن طن,القيمة بالالف ريال,Commodity Code,Commodity,Country Group,
5,,,,,Weight Tons,Value  (000 S R),Units,Weight Tons,Value  (000 S R),Units,Weight Tons,Value  (000 S R),,,,
6,دول مجلس التعاون الخليجي,لحوم وأحشاء وأطراف دجاج (جالوس دوميستكوس) غير مقطعة مبردة,2071100,0,15765.183,241949.257,0,0,0,0,15765.183,241949.257,2071100,"MEAT, CONS. BWLS & EXTREM. OF TURKEY/CHICKEN:GALL. DOM.",Gulf Cooperation Council,
7,دول مجلس التعاون الخليجي,غيره من حليب ، غير محلى,4029110,0,290567.098,736680.353,0,420.601,3773.519,0,290987.699,740453.872,4029110,"OTHER MILK, UNSWEETENED",Gulf Cooperation Council,
8,دول مجلس التعاون الخليجي,لبن زبادى,4031000,0,83779.712,390278.485,0,0.11,8.942,0,83779.822,390287.427,4031000,YOGURT,Gulf Cooperation Council,
9,دول مجلس التعاون الخليجي,أجبان مصنعة أو مطبوخة، غير مبشورة ولا مسحوقة,4063000,0,22694.569,412058.832,0,111.007,2048.806,0,22805.576,414107.638,4063000,"PROCESSED CHEESE, NOT GRATED OR POWDERED",Gulf Cooperation Council,
10,دول مجلس التعاون الخليجي,تمر مكنوز,8041021,0,45937.924,189395.822,0,14.639,464.003,0,45952.563,189859.825,8041021,STORED DATES,Gulf Cooperation Council,
11,دول مجلس التعاون الخليجي,عجائن معكرونة وشعيرية وأصناف مماثلة غير محتوية على بيض,19021910,0,20343.649,190064.842,0,69.948,243.67,0,20413.597,190308.512,19021910,"MACARONI, VERMICELLI AND SIMILAR ITEMS WITHOUT EGGS",Gulf Cooperation Council,
12,دول مجلس التعاون الخليجي,غيرها من منتجات محمصه,19054090,0,33202.84,272926.565,0,114.171,1583.286,0,33317.011,274509.851,19054090,OTHER TOASTED PRODUCTS,Gulf Cooperation Council,
13,دول مجلس التعاون الخليجي,محضرات هشه متماسكة للقرمشة (فشار، شيبس) جاهزة للاستهلاك,19059080,0,15073.869,306343.522,0,29.813,1070.266,0,15103.682,307413.788,19059080,"CRISPS (AS POP CORN, CHIPS AND THE LIKE)",Gulf Cooperation Council,
14,دول مجلس التعاون الخليجي,غيرها من مخاليط عصائر فواكة أو خضار,20099090,0,89936.606,337170.841,0,261.612,2292.586,0,90198.218,339463.427,20099090,OTHER MIXURES OF JUICES.,Gulf Cooperation Council,
15,دول مجلس التعاون الخليجي,مخاليط هيدروكربونيه عطريه اخر,27075000,0,223000,288150,0,0,0,0,223000,288150,27075000,OTHER AROMATIC HYDROCARBON MIXTURES,Gulf Cooperation Council,
16,دول مجلس التعاون الخليجي,زيوت نفط خام,27090000,0,9673478.478,11887264.281,0,0,0,0,9673478.478,11887264.281,27090000,CRUDE PETROLEUM OILS,Gulf Cooperation Council,
17,دول مجلس التعاون الخليجي,نافثا مهذبه,27101113,0,314887.144,424769.129,0,0,0,0,314887.144,424769.129,27101113,REFORMED NAPHTHA,Gulf Cooperation Council,
18,دول مجلس التعاون الخليجي,بنزين محركات,27101121,0,1330718.577,1778613.314,0,0,0,0,1330718.577,1778613.314,27101121,ENGINE  GASOLINE,Gulf Cooperation Council,
19,دول مجلس التعاون الخليجي, وقود طائرات نفاثة,27101122,0,1116865.029,1444496.422,0,0,0,0,1116865.029,1444496.422,27101122,JET AIRPLANE FUEL,Gulf Cooperation Council,
20,دول مجلس التعاون الخليجي,ديزل للمحركات,27101131,0,886104.313,993047.57,0,0,0,0,886104.313,993047.57,27101131,ENGINE DIESEL,Gulf Cooperation Council,
21,دول مجلس التعاون الخليجي,بنزين طبيعى,27101214,0,1915749.522,2410201.101,0,0,0,0,1915749.522,2410201.101,27101214,NATURAL GASOLINE,Gulf Cooperation Council,
22,دول مجلس التعاون الخليجي,وقود متعدد الغرض,27101229,0,781390,1093140.525,0,0,0,0,781390,1093140.525,27101229,FUEL FOR   OTHER PURPOSES,Gulf Cooperation Council,
23,دول مجلس التعاون الخليجي,زيوت اساسية,27101911,0,1057799.72,1072677.628,0,2.75,33,0,1057802.47,1072710.628,27101911,BASE OILS,Gulf Cooperation Council,
24,دول مجلس التعاون الخليجي,اوكسيد الومنيوم اخر,28182000,0,274478.246,282391.18,0,12.57,19.55,0,274490.816,282410.73,28182000,OTHER ALUMINIUM OXIDE,Gulf Cooperation Council,
25,دول مجلس التعاون الخليجي,بيوتال الأثير الثلاثي الميثل,29091910,0,180382.949,306653.088,0,0,0,0,180382.949,306653.088,29091910,TERT-BUTYL METHYLETHERS,Gulf Cooperation Council,
26,دول مجلس التعاون الخليجي,ايزوسيانات,29291000,0,33800.03,189691.105,0,14,152.835,0,33814.03,189843.94,29291000,ISOCYANATES,Gulf Cooperation Council,
27,دول مجلس التعاون الخليجي,غيرها من أدوية، مهيأة للبيع بالتجزئة,30049090,0,3532.126,526683.664,0,17.688,922.501,0,3549.814,527606.165,30049090,"OTHER MEDICINE, RETAIL",Gulf Cooperation Council,
28,دول مجلس التعاون الخليجي,محضرات غسيل جافه مسحوقه (مثل التابد)ـ تباع تجزئه,34022021,0,117817.196,421551.249,0,52.188,209.111,0,117869.384,421760.36,34022021,"DRY-POWDERED ORGANIC SURFACE-ACTIVE AGENTS, RETAIL",Gulf Cooperation Council,
29,دول مجلس التعاون الخليجي,محضرات غسيل مائعه ( سائله )ـ  ، مهياه للبيع بالتجزئه,34022022,0,61353.473,326128.303,0,631.139,16939.594,0,61984.612,343067.897,34022022,"FLUID ORGANIC SURFACE-ACTIVE AGENTS, RETAIL",Gulf Cooperation Council,
30,دول مجلس التعاون الخليجي,بولي إيثلين وزنه النوعي يقل عن 0.94,39011000,0,294333.344,1060866.676,0,319.741,2611.627,0,294653.085,1063478.303,39011000,POLYETHYLENE HAVING SPECIFIC GRAVITY OF LESS THAN 0.94,Gulf Cooperation Council,
31,دول مجلس التعاون الخليجي,بولي إيثلين وزنه النوعي 0.94 أو أكثر,39012000,0,285623.93,915488.284,0,39.405,364.368,0,285663.335,915852.652,39012000,POLYETHYLENE HAVING SPECIFIC GRAVITY OF 0.94 OR MORE,Gulf Cooperation Council,
32,دول مجلس التعاون الخليجي,غيرها من بوليمرات اثيلين,39019000,0,105727.741,412570.733,0,293.85,1865.803,0,106021.591,414436.536,39019000,OTHER ETHYLENE POLYMERS,Gulf Cooperation Council,
33,دول مجلس التعاون الخليجي,بولى بروبيلين,39021000,0,182027.892,645183.525,0,37.165,81.756,0,182065.057,645265.281,39021000,POLYPRO PYLENE,Gulf Cooperation Council,
34,دول مجلس التعاون الخليجي,كلوريد بولى فنيل غير ممزوج بمواد اخر,39041000,0,74836.21,262602.694,0,105.75,534.01,0,74941.96,263136.704,39041000,"POLYVINYL CHLORIDE, NOT MIXED WITH OTHER",Gulf Cooperation Council,
35,دول مجلس التعاون الخليجي,مصنوعات بشكل لفائف من اسفلت,68071000,0,106960.316,217412.715,0,0,0,0,106960.316,217412.715,68071000,ASPHALT IN ROLLS,Gulf Cooperation Council,
36,دول مجلس التعاون الخليجي,سبائك ذهب,71081210,0,17.751,3924066.851,0,2.476,482769.559,0,20.227,4406836.41,71081210,GOLD INGOTS,Gulf Cooperation Council,
37,دول مجلس التعاون الخليجي,حلي ومجوهرات وأجزاؤها من ذهب,71131910,0,3.854,164278.423,0,0.408,239078.978,0,4.262,403357.401,71131910,JEWELLERY OF GOLD,Gulf Cooperation Council,
38,دول مجلس التعاون الخليجي,قضبان وعيدان لفات،من حديداوصلب مجلخه بالحراره بهابروزات,72131000,0,188585.472,340613.308,0,0,0,0,188585.472,340613.308,72131000,"HOT-ROLLED STEEL BARS WITH DEFORMATIONS, IRREGULAR COIL",Gulf Cooperation Council,
